Player,Club,Position,Fee,Season,Transfer
Philippe Sandler,Manchester City,Centre-Back,2.5,2018/2019,Arrival
Ko Itakura,Manchester City,Centre-Back,1.1,2018/2019,Arrival
Daniel Arzani,Manchester City,Right Winger,0.89,2018/2019,Arrival
Brahim Díaz,Manchester City,Attacking Midfield,17.0,2018/2019,Departure
Angus Gunn,Manchester City,Goalkeeper,11.3,2018/2019,Departure
Jason Denayer,Manchester City,Centre-Back,10.0,2018/2019,Departure
Pablo Maffeo,Manchester City,Right-Back,9.0,2018/2019,Departure
Joe Hart,Manchester City,Goalkeeper,3.9,2018/2019,Departure
Bersant Celina,Manchester City,Attacking Midfield,3.4,2018/2019,Departure
Olarenwaju Kayode,Manchester City,Centre-Forward,3.0,2018/2019,Departure
