Player,Club,Position,Fee,Season,Transfer
Nemanja Matic,Manchester United,Defensive Midfield,44.7,2017/2018,Arrival
Victor Lindelöf,Manchester United,Centre-Back,35.0,2017/2018,Arrival
Alexis Sánchez,Manchester United,Centre-Forward,34.0,2017/2018,Arrival
Henrikh Mkhitaryan,Manchester United,Central Midfield,34.0,2017/2018,Departure
Adnan Januzaj,Manchester United,Right Winger,8.5,2017/2018,Departure
Andreas Pereira,Manchester United,Attacking Midfield,3.0,2017/2018,Departure
Fred,Manchester United,Central Midfield,59.0,2018/2019,Arrival
Diogo Dalot,Manchester United,Right-Back,22.0,2018/2019,Arrival
Lee Grant,Manchester United,Goalkeeper,1.7,2018/2019,Arrival
Daley Blind,Manchester United,Centre-Back,16.0,2018/2019,Departure
Sam Johnstone,Manchester United,Goalkeeper,7.35,2018/2019,Departure
Marouane Fellaini,Manchester United,Central Midfield,7.2,2018/2019,Departure
Hernán Crespo,Chelsea,Centre-Forward,26.0,2003/2004,Arrival
Damien Duff,Chelsea,Right Midfield,24.5,2003/2004,Arrival
Adrian Mutu,Chelsea,Centre-Forward,22.7,2003/2004,Arrival
Juan Sebastián Verón,Chelsea,Central Midfield,21.8,2003/2004,Arrival
Claude Makélélé,Chelsea,Defensive Midfield,20.0,2003/2004,Arrival
Scott Parker,Chelsea,Central Midfield,14.5,2003/2004,Arrival
Wayne Bridge,Chelsea,Left-Back,10.5,2003/2004,Arrival
Njitap Geremi,Chelsea,Right Midfield,10.0,2003/2004,Arrival
Joe Cole,Chelsea,Attacking Midfield,9.9,2003/2004,Arrival
Glen Johnson,Chelsea,Right-Back,8.3,2003/2004,Arrival
Aleksey Smertin,Chelsea,Defensive Midfield,5.5,2003/2004,Arrival
Mikael Forssell,Chelsea,Centre-Forward,0.75,2003/2004,Departure
Leon Knight,Chelsea,Centre-Forward,0.2,2003/2004,Departure
Didier Drogba,Chelsea,Centre-Forward,38.5,2004/2005,Arrival
Ricardo Carvalho,Chelsea,Centre-Back,30.0,2004/2005,Arrival
Paulo Ferreira,Chelsea,Right-Back,20.0,2004/2005,Arrival
Arjen Robben,Chelsea,Right Winger,18.0,2004/2005,Arrival
Tiago Mendes,Chelsea,Central Midfield,15.0,2004/2005,Arrival
Petr Cech,Chelsea,Goalkeeper,13.0,2004/2005,Arrival
Alex,Chelsea,Centre-Back,11.5,2004/2005,Arrival
Jiri Jarosik,Chelsea,Centre-Back,8.0,2004/2005,Arrival
Mateja Kežman,Chelsea,Centre-Forward,7.5,2004/2005,Arrival
Alcides,Chelsea,Centre-Back,0.9,2004/2005,Arrival
Jesper Grönkjaer,Chelsea,Left Winger,3.3,2004/2005,Departure
Michael Essien,Chelsea,Defensive Midfield,38.0,2005/2006,Arrival
Shaun Wright-Phillips,Chelsea,Right Winger,31.5,2005/2006,Arrival
Asier del Horno,Chelsea,Left-Back,12.0,2005/2006,Arrival
Slobodan Rajković,Chelsea,Centre-Back,5.2,2005/2006,Arrival
Lassana Diarra,Chelsea,Defensive Midfield,4.5,2005/2006,Arrival
Maniche,Chelsea,Central Midfield,0.3,2005/2006,Arrival
Tiago Mendes,Chelsea,Central Midfield,10.1,2005/2006,Departure
Scott Parker,Chelsea,Central Midfield,9.5,2005/2006,Departure
Mateja Kežman,Chelsea,Centre-Forward,9.0,2005/2006,Departure
Mikael Forssell,Chelsea,Centre-Forward,4.5,2005/2006,Departure
Aleksey Smertin,Chelsea,Defensive Midfield,1.5,2005/2006,Departure
Andriy Shevchenko,Chelsea,Centre-Forward,43.88,2006/2007,Arrival
John Obi Mikel,Chelsea,Defensive Midfield,20.0,2006/2007,Arrival
Khalid Boulahrouz,Chelsea,Centre-Back,13.2,2006/2007,Arrival
Ashley Cole,Chelsea,Left-Back,7.4,2006/2007,Arrival
Salomon Kalou,Chelsea,Left Winger,4.0,2006/2007,Arrival
Ben Sahar,Chelsea,Centre-Forward,0.5,2006/2007,Arrival
