Player,Club,Nation,Pos,Age,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist
Óscar Duarte,Espanyol,CRC,"DF,MF",29.0,9.3,,,,,,,,,
Lluis López,Espanyol,ESP,DF,21.0,8.6,,,,,,,,,
Javi Puado,Espanyol,ESP,"FW,MF",20.0,6.7,,,,,,,,,
Roberto,Espanyol,ESP,GK,32.0,6.3,,,,,,,,,
Álex López,Espanyol,ESP,MF,21.0,4.3,,,,,,,,,
Yuri Berchiche,Athletic Club,ESP,"DF,FW",28.0,36.7,,,,,,,,,
Iñaki Williams,Athletic Club,GHA,FW,24.0,35.2,,,,,,,,,
Iñigo Martínez,Athletic Club,ESP,DF,27.0,34.2,,,,,,,,,
Yeray Álvarez,Athletic Club,ESP,DF,23.0,31.0,,,,,,,,,
Iago Herrerín,Athletic Club,ESP,GK,30.0,31.0,,,,,,,,,
Óscar de Marcos,Athletic Club,ESP,"DF,FW",29.0,29.4,,,,,,,,,
Dani García,Athletic Club,ESP,MF,28.0,29.1,,,,,,,,,
Iker Muniain,Athletic Club,ESP,"MF,FW",25.0,28.2,,,,,,,,,
Raúl García,Athletic Club,ESP,"MF,FW",32.0,27.3,,,,,,,,,
Beñat Etxebarria,Athletic Club,ESP,MF,31.0,24.2,,,,,,,,,
Mikel San José,Athletic Club,ESP,MF,29.0,22.3,,,,,,,,,
Ander Capa,Athletic Club,ESP,"DF,FW",26.0,20.0,,,,,,,,,
Markel Susaeta,Athletic Club,ESP,"FW,MF",30.0,18.1,,,,,,,,,
Iñigo Córdoba,Athletic Club,ESP,"FW,MF",21.0,16.5,,,,,,,,,
Unai Núñez,Athletic Club,ESP,DF,21.0,13.8,,,,,,,,,
Aritz Aduriz,Athletic Club,ESP,FW,37.0,12.4,,,,,,,,,
Unai Simón,Athletic Club,ESP,GK,21.0,11.0,,,,,,,,,
Mikel Balenziaga,Athletic Club,ESP,DF,30.0,7.8,,,,,,,,,
Ibai Gómez,Athletic Club,ESP,FW,28.0,7.4,,,,,,,,,
Peru Nolaskoain,Athletic Club,ESP,DF,19.0,7.2,,,,,,,,,
Unai López,Athletic Club,ESP,MF,22.0,4.4,,,,,,,,,
Gorka Guruzeta,Athletic Club,ESP,"MF,FW",21.0,3.4,,,,,,,,,
Ander Iturraspe,Athletic Club,ESP,MF,29.0,2.9,,,,,,,,,
Mikel Rico,Athletic Club,ESP,MF,33.0,2.7,,,,,,,,,
Iñigo Lekue,Athletic Club,ESP,DF,25.0,2.3,,,,,,,,,
Mikel Oyarzabal,Real Sociedad,ESP,"FW,MF",21.0,38.8,,,,,,,,,
Igor Zubeldia,Real Sociedad,ESP,MF,21.0,31.8,,,,,,,,,
Gerónimo Rulli,Real Sociedad,ARG,GK,26.0,29.0,,,,,,,,,
Willian José,Real Sociedad,BRA,FW,26.0,28.6,,,,,,,,,
Joseba Zaldúa,Real Sociedad,ESP,DF,26.0,26.8,,,,,,,,,
Aritz Elustondo,Real Sociedad,ESP,DF,24.0,26.2,,,,,,,,,
Theo Hernández,Real Sociedad,FRA,DF,20.0,26.0,,,,,,,,,
Héctor Moreno,Real Sociedad,MEX,DF,30.0,24.5,,,,,,,,,
Mikel Merino,Real Sociedad,ESP,MF,22.0,24.4,,,,,,,,,
Asier Illarramendi,Real Sociedad,ESP,MF,28.0,22.4,,,,,,,,,
Diego Llorente,Real Sociedad,ESP,DF,24.0,21.5,,,,,,,,,
Juanmi,Real Sociedad,ESP,"FW,MF",25.0,19.2,,,,,,,,,
Adnan Januzaj,Real Sociedad,BEL,"FW,MF",23.0,16.4,,,,,,,,,
Rubén Pardo,Real Sociedad,ESP,"MF,FW",25.0,16.0,,,,,,,,,
David Zurutuza,Real Sociedad,ESP,MF,32.0,15.6,,,,,,,,,
Raúl Navas,Real Sociedad,ESP,DF,30.0,14.6,,,,,,,,,
Miguel Ángel Moyá,Real Sociedad,ESP,GK,34.0,13.0,,,,,,,,,
Sandro Ramírez,Real Sociedad,ESP,"FW,MF",23.0,12.9,,,,,,,,,
Luca Sangalli,Real Sociedad,ESP,"MF,FW",23.0,12.0,,,,,,,,,
Aihen Muñoz,Real Sociedad,ESP,DF,20.0,10.6,,,,,,,,,
Jon Bautista,Real Sociedad,ESP,FW,23.0,7.6,,,,,,,,,
Robin Le Normand,Real Sociedad,ESP,DF,21.0,5.9,,,,,,,,,
Kévin Rodrigues,Real Sociedad,POR,DF,24.0,5.4,,,,,,,,,
Andoni Gorosabel,Real Sociedad,ESP,DF,21.0,5.1,,,,,,,,,
Ander Barrenetxea,Real Sociedad,ESP,"FW,MF",16.0,4.4,,,,,,,,,
Alex Sola,Real Sociedad,ESP,DF,19.0,1.0,,,,,,,,,
Ander Guevara,Real Sociedad,ESP,MF,21.0,1.0,,,,,,,,,
Roberto López,Real Sociedad,ESP,MF,18.0,0.3,,,,,,,,,
Sidnei,Real Betis,BRA,DF,28.0,7.0,,,,,,,,,
William Carvalho,Real Betis,POR,MF,26.0,6.8,,,,,,,,,
Giovani Lo Celso,Real Betis,ARG,"MF,FW",22.0,6.3,,,,,,,,,
Aïssa Mandi,Real Betis,ALG,DF,26.0,6.0,,,,,,,,,
Joel Robles,Real Betis,ESP,GK,28.0,6.0,,,,,,,,,
Sergio Canales,Real Betis,ESP,MF,27.0,5.2,,,,,,,,,
Cristian Tello,Real Betis,ESP,"DF,FW",26.0,5.2,,,,,,,,,
Marc Bartra,Real Betis,ESP,DF,27.0,5.0,,,,,,,,,
Joaquín,Real Betis,ESP,"MF,DF",37.0,4.5,,,,,,,,,
Javi García,Real Betis,ESP,DF,31.0,4.2,,,,,,,,,
Loren Morón,Real Betis,ESP,FW,24.0,3.9,,,,,,,,,
Antonio Sanabria,Real Betis,PAR,FW,22.0,3.8,,,,,,,,,
Andrés Guardado,Real Betis,MEX,"MF,DF",31.0,3.8,,,,,,,,,
Sergio León,Real Betis,ESP,FW,29.0,3.6,,,,,,,,,
Junior Firpo,Real Betis,DOM,DF,21.0,3.3,,,,,,,,,
Antonio Barragán,Real Betis,ESP,"DF,FW",31.0,3.2,,,,,,,,,
Takashi Inui,Real Betis,JPN,"MF,FW",30.0,2.2,,,,,,,,,
Zouhair Feddal,Real Betis,MAR,DF,29.0,2.0,,,,,,,,,
Pau López,Real Betis,ESP,GK,23.0,2.0,,,,,,,,,
Wilfrid Kaptoum,Real Betis,CMR,MF,22.0,1.1,,,,,,,,,
Francis Guerrero,Real Betis,ESP,DF,22.0,1.0,,,,,,,,,
Jesé,Real Betis,ESP,FW,25.0,1.0,,,,,,,,,
Diego Lainez,Real Betis,MEX,MF,18.0,0.9,,,,,,,,,
Ryad Boudebouz,Real Betis,ALG,MF,28.0,0.2,,,,,,,,,
Emerson,Real Betis,BRA,MF,19.0,0.0,,,,,,,,,
Víctor Laguardia,Alaves,ESP,DF,28.0,36.0,,,,,,,,,
Fernando Pacheco,Alaves,ESP,GK,26.0,35.0,,,,,,,,,
Jony,Alaves,ESP,"MF,FW",27.0,33.1,,,,,,,,,
Jonathan Calleri,Alaves,ARG,FW,24.0,32.3,,,,,,,,,
Rubén Duarte,Alaves,ESP,DF,22.0,30.8,,,,,,,,,
Ximo Navarro,Alaves,ESP,DF,28.0,28.1,,,,,,,,,
Manu García,Alaves,ESP,MF,32.0,26.9,,,,,,,,,
Tomás Pina Isla,Alaves,ESP,MF,30.0,26.0,,,,,,,,,
Guillermo Maripán,Alaves,CHI,DF,24.0,24.3,,,,,,,,,
Martin Agirregabiria,Alaves,ESP,DF,22.0,23.6,,,,,,,,,
Darko Brašanac,Alaves,SRB,MF,26.0,19.6,,,,,,,,,
Wakaso,Alaves,GHA,MF,28.0,18.5,,,,,,,,,
Borja Bastón,Alaves,ESP,FW,25.0,17.8,,,,,,,,,
Ibai Gómez,Alaves,ESP,"MF,FW",28.0,16.2,,,,,,,,,
Rubén Sobrino,Alaves,ESP,"FW,MF",26.0,12.5,,,,,,,,,
Takashi Inui,Alaves,JPN,"MF,FW",30.0,9.2,,,,,,,,,
Carlos Vigaray,Alaves,ESP,DF,23.0,9.2,,,,,,,,,
John Guidetti,Alaves,SWE,FW,26.0,8.5,,,,,,,,,
Burgui,Alaves,ESP,"MF,FW",24.0,8.2,,,,,,,,,
