Player,Club,Nation,Pos,Age,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
Valentin Rongier,Nantes,FRA,MF,23.0,40.4,4,0,0,51.0,35.0,3.0,107.0,38.0,58.0,0.0,0.0,0,243.0,35.0,46.0,43.2
Diego Carlos,Nantes,BRA,DF,25.0,39.0,9,0,0,49.0,26.0,2.0,5.0,54.0,38.0,0.0,2.0,0,209.0,86.0,69.0,55.5
Abdoulaye Touré,Nantes,GUI,MF,24.0,34.9,4,1,0,26.0,53.0,1.0,27.0,50.0,33.0,1.0,0.0,0,198.0,47.0,52.0,47.5
Lucas Lima,Nantes,BRA,"DF,FW",26.0,32.7,6,0,0,49.0,40.0,10.0,244.0,31.0,34.0,0.0,0.0,0,181.0,39.0,45.0,46.4
Nicolas Pallois,Nantes,FRA,DF,30.0,31.0,8,0,0,32.0,14.0,2.0,5.0,43.0,59.0,0.0,3.0,0,189.0,47.0,42.0,52.8
Ciprian Tătărușanu,Nantes,ROU,GK,32.0,29.6,0,0,0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0,43.0,5.0,2.0,71.4
Abdul Majeed Waris,Nantes,GHA,"FW,MF",26.0,28.5,7,0,0,17.0,76.0,12.0,44.0,9.0,13.0,3.0,0.0,0,107.0,13.0,35.0,27.1
Enock Kwateng,Nantes,FRA,DF,21.0,25.7,5,0,0,28.0,22.0,1.0,76.0,82.0,45.0,0.0,0.0,0,165.0,41.0,27.0,60.3
Kalifa Coulibaly,Nantes,MLI,FW,26.0,24.5,8,2,2,59.0,23.0,30.0,18.0,5.0,10.0,1.0,0.0,0,41.0,141.0,102.0,58.0
Andrei Girotto,Nantes,BRA,MF,26.0,21.3,7,3,2,38.0,25.0,0.0,4.0,36.0,47.0,0.0,0.0,0,86.0,55.0,40.0,57.9
Fábio,Nantes,BRA,"DF,FW",28.0,19.1,5,1,0,21.0,20.0,1.0,40.0,23.0,42.0,0.0,1.0,0,87.0,20.0,17.0,54.1
Samuel Moutoussamy,Nantes,COD,"MF,FW",21.0,18.4,0,0,0,18.0,11.0,4.0,17.0,9.0,20.0,0.0,0.0,0,91.0,9.0,19.0,32.1
Anthony Limbombe,Nantes,BEL,FW,24.0,16.6,2,0,0,9.0,33.0,12.0,48.0,9.0,10.0,1.0,0.0,0,62.0,13.0,17.0,43.3
Gabriel Boschilia,Nantes,BRA,"FW,MF",22.0,16.4,1,0,0,20.0,26.0,2.0,70.0,11.0,26.0,0.0,0.0,0,75.0,5.0,22.0,18.5
Emiliano Sala,Nantes,ARG,FW,27.0,16.2,0,0,0,16.0,34.0,13.0,4.0,2.0,5.0,1.0,0.0,0,41.0,42.0,61.0,40.8
Charles Traore,Nantes,MLI,"DF,FW",26.0,15.9,3,0,0,30.0,23.0,0.0,32.0,25.0,20.0,0.0,1.0,0,73.0,26.0,18.0,59.1
Maxime Dupé,Nantes,FRA,GK,25.0,14.4,1,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,8.0,2.0,0.0,100.0
Rene Krhin,Nantes,SVN,MF,28.0,14.4,2,0,0,6.0,14.0,0.0,0.0,23.0,14.0,0.0,0.0,0,66.0,34.0,14.0,70.8
Lucas Evangelista,Nantes,BRA,"FW,MF",23.0,11.6,1,0,0,23.0,38.0,0.0,21.0,12.0,24.0,0.0,0.0,0,49.0,23.0,16.0,59.0
Edgar Ié,Nantes,GNB,DF,24.0,10.6,2,0,0,15.0,11.0,2.0,9.0,10.0,16.0,0.0,1.0,0,51.0,10.0,11.0,47.6
Matt Miazga,Nantes,USA,DF,23.0,9.0,5,0,0,14.0,4.0,0.0,1.0,14.0,14.0,0.0,2.0,0,31.0,46.0,7.0,86.8
Kara Mbodji,Nantes,SEN,DF,28.0,7.6,0,0,0,2.0,6.0,0.0,3.0,9.0,11.0,0.0,0.0,0,33.0,16.0,8.0,66.7
Valentin Eysseric,Nantes,FRA,"MF,FW",26.0,3.3,1,0,0,10.0,10.0,0.0,26.0,2.0,2.0,1.0,0.0,0,16.0,1.0,3.0,25.0
Imran Louza,Nantes,MAR,MF,19.0,2.5,1,0,0,11.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0,8.0,1.0,1.0,50.0
Randal Kolo Muani,Nantes,FRA,FW,19.0,1.4,1,0,0,8.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0,5.0,2.0,1.0,66.7
Antonio Mance,Nantes,CRO,FW,22.0,1.3,1,0,0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1.0,1.0,4.0,20.0
