Player,Club,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR
Riccardo Meggiorini,Chievo,ITA,FW,32,24,18,1548,17.2,3,1,4,2,1,1,6,0,3.3,2.5,1.5,4.0,24,30,105
Paweł Jaroszyński,Chievo,POL,DF,23,19,15,1348,15.0,0,0,0,0,0,0,2,0,0.2,0.2,1.6,1.8,34,60,39
Valter Birsa,Chievo,SVN,"MF,FW",31,17,12,1101,12.2,2,2,4,1,1,1,1,0,1.7,0.9,2.2,3.1,40,78,72
Sergio Pellissier,Chievo,ITA,FW,39,19,12,953,10.6,4,1,5,3,1,2,1,0,5.5,3.9,2.0,5.9,12,13,90
Boštjan Cesar,Chievo,SVN,DF,36,14,11,1079,12.0,1,0,1,1,0,0,3,0,0.5,0.5,0.0,0.5,0,17,0
Assane Dioussé,Chievo,SEN,MF,20,14,9,892,9.9,0,0,0,0,0,0,5,0,0.2,0.2,0.2,0.4,6,45,8
Sofian Kiyine,Chievo,MAR,"MF,DF",20,23,9,816,9.1,0,1,1,0,0,0,7,0,0.8,0.8,0.9,1.7,35,40,42
Nenad Tomović,Chievo,SRB,DF,30,10,9,739,8.2,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.4,7,25,8
Joel Obi,Chievo,NGA,MF,27,11,9,659,7.3,1,0,1,1,0,0,1,0,1.0,1.0,1.0,2.1,10,19,18
Emanuel Vignato,Chievo,ITA,"MF,FW",17,10,8,655,7.3,1,1,2,1,0,0,0,0,0.5,0.5,0.5,1.0,12,24,32
Marco Andreolli,Chievo,ITA,DF,32,8,7,646,7.2,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,8,0
Filip Đorđević,Chievo,SRB,FW,30,13,6,634,7.0,1,1,2,1,0,0,1,0,3.0,3.0,0.6,3.6,6,7,41
Adrian Šemper,Chievo,CRO,GK,20,6,6,540,6.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Fabrizio Cacciatore,Chievo,ITA,DF,31,7,5,497,5.5,0,0,0,0,0,0,1,0,0.0,0.0,0.6,0.7,8,20,25
Manuel Pucciarelli,Chievo,ITA,FW,27,10,3,302,3.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,2,9
Nicolas Frey,Chievo,FRA,DF,34,5,3,227,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,7,1
Sergej Grubac,Chievo,MNE,FW,18,3,2,157,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,1,0,6
Ezequiel Schelotto,Chievo,ITA,DF,29,4,2,143,1.6,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,6,8,6
Andrea Seculin,Chievo,ITA,GK,28,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Angelo Ndrecka,Chievo,ALB,DF,16,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,3,3
Lucas Piazon,Chievo,BRA,"MF,FW",24,4,0,84,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,0,2,2
Ibrahim Karamoko,Chievo,FRA,MF,17,2,0,65,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1,2,2
Mauro Antonio Burruchaga,Chievo,ARG,MF,20,1,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0
Strahinja Tanasijević,Chievo,SRB,"DF,MF",21,1,0,17,0.2,0,0,0,0,0,0,2,1,0.1,0.1,0.0,0.1,0,0,0
Musa Juwara,Chievo,GAM,FW,16,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
Marquinhos,Paris Saint Germain,BRA,"DF,MF",24,30,30,2693,29.9,3,2,5,3,0,0,2,1,2.0,2.0,1.3,3.4,19,179,13
Ángel Di María,Paris Saint Germain,ARG,"FW,MF",30,30,28,2324,25.8,12,11,23,12,0,0,2,0,8.7,8.7,7.8,16.5,98,151,277
Kylian Mbappé,Paris Saint Germain,FRA,FW,19,29,24,2343,26.0,33,7,40,32,1,2,5,1,28.0,26.4,5.4,31.8,114,97,311
Thiago Silva,Paris Saint Germain,BRA,DF,33,25,24,2077,23.1,0,1,1,0,0,0,4,0,1.0,1.0,0.7,1.6,19,144,4
Presnel Kimpembe,Paris Saint Germain,FRA,DF,22,24,23,2005,22.3,0,1,1,0,0,0,4,1,0.4,0.4,0.6,1.1,23,92,6
Marco Verratti,Paris Saint Germain,ITA,MF,25,26,23,1879,20.9,0,2,2,0,0,0,7,0,0.1,0.1,3.5,3.6,52,261,38
Julian Draxler,Paris Saint Germain,GER,"MF,FW",24,31,22,2046,22.7,3,7,10,3,0,0,6,0,4.1,4.1,5.0,9.1,93,193,169
Alphonse Areola,Paris Saint Germain,FRA,GK,25,21,21,1890,21.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
Juan Bernat,Paris Saint Germain,ESP,"DF,MF",25,25,21,1836,20.4,1,2,3,1,0,0,6,1,0.8,0.8,2.7,3.5,50,73,152
Edinson Cavani,Paris Saint Germain,URU,FW,31,21,20,1671,18.6,18,5,23,14,4,5,1,0,14.5,10.6,3.6,14.1,16,16,122
Thilo Kehrer,Paris Saint Germain,GER,DF,21,27,19,1902,21.1,1,2,3,1,0,0,4,0,2.2,2.2,0.5,2.8,31,91,44
Dani Alves,Paris Saint Germain,BRA,"MF,DF",35,23,19,1622,18.0,1,7,8,1,0,0,4,0,1.8,1.8,6.4,8.2,41,163,131
Thomas Meunier,Paris Saint Germain,BEL,DF,26,22,19,1610,17.9,3,3,6,3,0,0,2,0,2.5,2.5,3.3,5.8,62,81,151
Gianluigi Buffon,Paris Saint Germain,ITA,GK,40,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
Neymar,Paris Saint Germain,BRA,"MF,FW",26,17,16,1439,16.0,15,7,22,10,5,5,2,0,11.0,7.1,6.9,14.0,125,177,138
Leandro Paredes,Paris Saint Germain,ARG,MF,24,16,14,1249,13.9,0,2,2,0,0,0,1,0,0.6,0.6,2.7,3.3,10,112,6
Christopher Nkunku,Paris Saint Germain,FRA,"MF,FW",20,22,13,1156,12.8,3,2,5,3,0,0,0,0,2.6,2.6,3.1,5.7,52,61,130
Adrien Rabiot,Paris Saint Germain,FRA,MF,23,14,12,1063,11.8,2,1,3,2,0,0,3,0,1.5,1.5,0.3,1.8,47,122,24
Layvin Kurzawa,Paris Saint Germain,FRA,"DF,MF",25,19,11,1010,11.2,1,2,3,1,0,0,4,0,1.0,1.0,3.1,4.2,18,38,110
Moussa Diaby,Paris Saint Germain,FRA,"MF,DF",19,25,10,1141,12.7,2,6,8,2,0,0,1,0,2.2,2.2,3.9,6.2,60,37,148
Colin Dagba,Paris Saint Germain,FRA,"DF,MF",19,17,9,918,10.2,0,2,2,0,0,0,2,0,0.1,0.1,1.9,2.0,22,25,80
Eric Maxim Choupo-Moting,Paris Saint Germain,CMR,FW,29,22,8,802,8.9,3,0,3,3,0,0,0,0,4.2,4.2,0.3,4.4,22,20,81
Stanley N'Soki,Paris Saint Germain,FRA,DF,19,12,8,698,7.8,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,19,32,43
Loïc Mbe Soh,Paris Saint Germain,FRA,DF,17,2,2,180,2.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,4,1
Antoine Bernede,Paris Saint Germain,FRA,MF,19,2,2,169,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,22,4
Lassana Diarra,Paris Saint Germain,FRA,MF,33,3,2,159,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,11,0
Timothy Weah,Paris Saint Germain,USA,FW,18,2,1,54,0.6,1,0,1,1,0,0,1,0,1.0,1.0,0.1,1.1,0,0,4
Metehan Güçlü,Paris Saint Germain,TUR,MF,19,1,0,17,0.2,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,0,1,3
Giovani Lo Celso,Paris Saint Germain,ARG,MF,22,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
Kévin Rimane,Paris Saint Germain,GUF,MF,27,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,0
Mike Maignan,Lille,FRA,GK,23,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
Nicolas Pépé,Lille,CIV,"FW,MF",23,38,37,3324,36.9,22,11,33,13,9,10,1,0,21.1,13.3,9.6,22.8,139,116,293
José Fonte,Lille,POR,DF,34,36,36,3110,34.6,3,1,4,3,0,0,5,1,4.6,4.6,0.4,5.0,39,159,12
Thiago Mendes,Lille,BRA,MF,26,35,35,3074,34.2,0,5,5,0,0,0,10,0,1.5,1.5,4.8,6.3,39,231,44
Jonathan Bamba,Lille,CIV,"FW,MF",22,38,35,3004,33.4,13,3,16,12,1,1,4,0,8.4,7.6,5.3,13.0,112,125,265
Zeki Çelik,Lille,TUR,DF,21,34,34,2971,33.0,1,5,6,1,0,0,5,1,1.1,1.1,2.7,3.9,58,117,181
Jonathan Ikone,Lille,FRA,"MF,FW",20,38,34,2796,31.1,3,9,12,3,0,0,3,0,5.1,5.1,6.2,11.2,112,96,199
Xeka,Lille,POR,MF,23,27,26,2260,25.1,2,0,2,2,0,0,10,0,1.7,1.7,0.8,2.5,40,113,19
Adama Soumaoro,Lille,FRA,DF,26,20,20,1723,19.1,0,1,1,0,0,0,6,1,0.5,0.5,0.3,0.8,9,25,1
Youssouf Koné,Lille,MLI,DF,23,20,19,1709,19.0,0,1,1,0,0,0,3,0,0.1,0.1,0.9,1.0,49,95,76
Fodé Ballo-Touré,Lille,SEN,DF,21,18,18,1593,17.7,0,1,1,0,0,0,3,0,0.4,0.4,1.0,1.4,36,65,63
Rafael Leão,Lille,POR,FW,19,24,16,1287,14.3,8,3,11,8,0,0,3,0,4.3,4.3,1.7,6.0,17,17,76
Loïc Rémy,Lille,FRA,FW,31,26,14,1204,13.4,7,2,9,6,1,2,3,0,6.4,4.9,0.7,5.6,18,18,60
Gabriel Magalhães,Lille,BRA,DF,20,14,11,1066,11.8,1,0,1,1,0,0,1,0,0.8,0.8,0.1,0.9,5,40,0
Thiago Maia,Lille,BRA,MF,21,24,10,1021,11.3,0,1,1,0,0,0,4,0,0.7,0.5,0.5,1.0,7,71,8
Kouadio-Yves Dabila,Lille,CIV,DF,21,12,8,782,8.7,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,1,9,0
Luiz Araújo,Lille,BRA,"FW,MF",22,25,6,781,8.7,3,2,5,3,0,0,2,1,2.1,2.1,0.9,3.0,30,43,45
Rui Fonte,Lille,POR,"FW,MF",28,18,5,627,7.0,1,0,1,1,0,0,1,0,0.6,0.6,0.3,1.0,6,17,40
Boubakary Soumaré,Lille,FRA,MF,19,18,5,564,6.3,1,1,2,1,0,0,2,0,0.4,0.4,0.6,1.0,13,51,10
Jérémy Pied,Lille,FRA,DF,29,11,4,469,5.2,0,2,2,0,0,0,0,0,0.0,0.0,1.1,1.1,14,21,30
Lebo Mothiba,Lille,RSA,FW,22,3,3,253,2.8,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,2,2,9
Yassine Benzia,Lille,ALG,MF,23,2,2,160,1.8,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.8,5,18,6
Edgar Ié,Lille,GNB,DF,24,7,1,239,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,7,3
Reinildo Mandava,Lille,MOZ,DF,24,3,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,2,4,8
Arton Zekaj,Lille,KVX,FW,18,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
Houssem Aouar,Lyon,ALG,MF,20,37,35,3061,34.0,7,7,14,7,0,0,2,0,6.8,6.8,4.7,11.5,96,274,163
Anthony Lopes,Lyon,POR,GK,27,34,34,3060,34.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0
Marcelo,Lyon,BRA,DF,31,33,33,2878,32.0,0,1,1,0,0,0,6,0,2.3,2.3,1.4,3.7,22,190,4
Jason Denayer,Lyon,BEL,DF,23,31,31,2754,30.6,2,0,2,2,0,0,2,0,1.7,1.7,0.4,2.1,38,136,3
Tanguy Ndombele,Lyon,FRA,MF,21,34,31,2690,29.9,1,7,8,1,0,0,3,0,1.9,1.9,3.6,5.5,81,266,61
Memphis,Lyon,NED,"FW,MF",24,36,29,2737,30.4,10,10,20,10,0,2,5,0,14.3,12.7,10.7,23.4,108,176,281
Ferland Mendy,Lyon,FRA,DF,23,30,27,2531,28.1,2,1,3,2,0,0,2,0,0.9,0.9,3.2,4.1,111,163,212
Bertrand Traoré,Lyon,BFA,FW,22,34,24,2117,23.5,7,2,9,7,0,0,5,0,6.0,6.0,2.6,8.6,96,113,288
Nabil Fekir,Lyon,FRA,MF,25,29,24,1988,22.1,9,7,16,5,4,6,5,0,10.2,5.5,5.4,10.9,62,134,175
Leo Dubois,Lyon,FRA,DF,23,25,21,2044,22.7,1,6,7,1,0,0,2,0,0.9,0.9,4.5,5.4,86,129,157
Moussa Dembélé,Lyon,FRA,FW,22,33,21,2016,22.4,15,4,19,14,1,2,1,0,17.1,15.5,2.7,18.2,44,24,164
Lucas Tousart,Lyon,FRA,MF,21,30,20,1727,19.2,0,0,0,0,0,0,3,2,0.9,0.9,0.5,1.4,9,94,16
Martin Terrier,Lyon,FRA,FW,21,32,16,1486,16.5,9,0,9,9,0,0,2,0,4.1,4.1,2.6,6.6,32,55,116
Maxwel Cornet,Lyon,CIV,FW,21,27,12,1281,14.2,7,5,12,7,0,0,2,0,7.4,7.4,4.1,11.5,62,22,198
Jérémy Morel,Lyon,MAD,DF,34,12,12,1064,11.8,0,0,0,0,0,0,4,0,0.1,0.1,0.1,0.2,8,67,0
Kenny Tete,Lyon,NED,DF,22,13,12,1048,11.6,0,3,3,0,0,0,1,0,0.7,0.7,1.8,2.5,35,64,99
Fernando Marçal,Lyon,BRA,DF,29,12,12,878,9.8,0,0,0,0,0,0,2,0,0.2,0.2,0.2,0.4,25,89,39
Rafael,Lyon,BRA,DF,28,18,11,1023,11.4,0,1,1,0,0,0,4,1,0.1,0.1,0.7,0.8,48,63,63
Pape Cheikh Diop,Lyon,SEN,MF,20,12,5,454,5.0,0,0,0,0,0,0,3,0,0.4,0.4,0.1,0.5,4,14,15
Mathieu Gorgelin,Lyon,FRA,GK,27,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Mariano,Lyon,DOM,FW,24,3,2,143,1.6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,4,0,8
Jordan Ferri,Lyon,FRA,MF,26,4,1,116,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,12,7
Oumar Solet,Lyon,FRA,DF,18,1,1,59,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,7,1
Yassin Fekir,Lyon,FRA,FW,21,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,0,2
Lenny Pintor,Lyon,FRA,FW,17,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
Stéphane Ruffier,Saint Etienne,FRA,GK,31,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
Yann M'Vila,Saint Etienne,FRA,MF,28,37,37,3258,36.2,0,1,1,0,0,0,5,1,0.4,0.4,1.0,1.5,9,227,8
Timothée Kolodziejczak,Saint Etienne,FRA,DF,26,36,35,3184,35.4,3,3,6,3,0,0,7,0,2.5,2.5,0.9,3.4,43,148,56
Rémy Cabella,Saint Etienne,FRA,"MF,FW",28,34,34,2997,33.3,8,4,12,7,1,1,5,1,9.9,9.1,5.4,14.5,224,279,270
Wahbi Khazri,Saint Etienne,TUN,"FW,MF",27,32,32,2817,31.3,13,6,19,9,4,4,10,1,12.4,9.2,6.9,16.1,80,120,235
Loïc Perrin,Saint Etienne,FRA,DF,32,31,31,2700,30.0,1,1,2,1,0,0,2,0,1.4,1.4,0.8,2.2,15,102,3
Neven Subotić,Saint Etienne,SRB,DF,29,26,26,2149,23.9,1,0,1,1,0,0,2,1,2.0,2.0,0.3,2.3,1,47,2
Mathieu Debuchy,Saint Etienne,FRA,DF,33,24,23,1941,21.6,4,3,7,4,0,0,5,1,2.3,2.3,2.3,4.6,31,79,105
Ole Selnæs,Saint Etienne,NOR,MF,24,20,19,1669,18.5,0,5,5,0,0,0,6,0,0.4,0.4,2.5,2.9,17,104,19
Lois Diony,Saint Etienne,FRA,FW,25,30,19,1591,17.7,5,1,6,5,0,0,3,0,8.1,8.1,1.8,10.0,34,18,157
Romain Hamouma,Saint Etienne,FRA,"FW,MF",31,27,19,1586,17.6,4,4,8,4,0,0,3,1,3.2,3.2,4.4,7.6,59,51,152
Kévin Monnet-Paquet,Saint Etienne,FRA,"DF,MF",29,23,16,1482,16.5,1,1,2,1,0,0,4,0,1.8,1.8,1.0,2.8,51,56,97
Gabriel Silva,Saint Etienne,BRA,DF,27,19,16,1429,15.9,0,2,2,0,0,0,1,0,0.2,0.2,1.4,1.6,16,38,75
William Saliba,Saint Etienne,FRA,DF,17,16,13,1277,14.2,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,7,21,4
Robert Berić,Saint Etienne,SVN,FW,27,23,12,1175,13.1,9,1,10,9,0,0,0,0,7.5,7.5,1.7,9.2,6,16,52
Arnaud Nordin,Saint Etienne,FRA,"FW,MF",20,25,11,1050,11.7,3,1,4,3,0,0,2,0,3.7,3.7,2.1,5.8,53,30,95
Pierre-Yves Polomat,Saint Etienne,FRA,DF,24,18,11,950,10.6,0,2,2,0,0,0,2,0,0.2,0.2,1.8,2.0,27,51,65
Youssef Aït Bennasser,Saint Etienne,MAR,MF,22,13,11,936,10.4,0,0,0,0,0,0,0,0,0.3,0.3,0.4,0.7,6,67,12
Yannis Salibur,Saint Etienne,FRA,"FW,MF",27,21,9,885,9.8,1,3,4,1,0,0,2,1,2.1,2.1,2.6,4.7,57,39,88
Valentín Vada,Saint Etienne,ARG,MF,22,12,3,404,4.5,1,1,2,1,0,0,1,0,0.3,0.3,0.9,1.2,4,28,8
Assane Dioussé,Saint Etienne,SEN,MF,20,7,2,217,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.6,0.6,4,15,6
Wesley Fofana,Saint Etienne,FRA,DF,17,2,1,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1
Jessy Moulin,Saint Etienne,FRA,GK,32,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Makhtar Gueye,Saint Etienne,SEN,"FW,MF",20,5,0,50,0.6,1,1,2,1,0,0,0,0,0.2,0.2,0.4,0.6,1,1,8
Lamine Ghezali,Saint Etienne,FRA,"FW,MF",19,6,0,44,0.5,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,6,3,11
Charles Abi,Saint Etienne,FRA,"DF,FW",18,3,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,1,0
Mickaël Panos,Saint Etienne,FRA,DF,21,1,0,25,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1
Mahdi Camara,Saint Etienne,FRA,FW,20,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Kenny Rocha Santos,Saint Etienne,CPV,MF,18,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Steve Mandanda,Marseille,FRA,GK,33,31,31,2735,30.4,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,1,0
Lucas Ocampos,Marseille,ARG,"FW,MF",24,34,31,2708,30.1,4,8,12,4,0,0,11,0,5.7,5.7,3.4,9.1,85,54,210
Florian Thauvin,Marseille,FRA,"FW,MF",25,33,30,2613,29.0,16,8,24,14,2,2,5,1,11.3,9.8,6.1,15.8,141,119,299
Boubacar Kamara,Marseille,FRA,DF,18,31,27,2411,26.8,1,0,1,1,0,0,6,0,1.0,1.0,0.5,1.4,19,88,7
Morgan Sanson,Marseille,FRA,MF,23,33,27,2403,26.7,5,3,8,5,0,0,9,0,2.3,2.3,2.2,4.5,72,147,96
Luiz Gustavo,Marseille,BRA,"MF,DF",31,30,26,2436,27.1,2,0,2,2,0,0,8,0,2.2,2.2,0.5,2.7,32,108,14
Hiroki Sakai,Marseille,JPN,DF,28,27,26,2374,26.4,1,4,5,1,0,0,3,0,0.4,0.4,2.9,3.3,37,100,111
Bouna Sarr,Marseille,SEN,"DF,MF",26,29,25,2242,24.9,1,1,2,1,0,0,3,1,1.4,1.4,2.0,3.4,111,99,115
Maxime Lopez,Marseille,FRA,MF,20,32,25,2180,24.2,1,3,4,1,0,0,4,0,0.5,0.5,3.3,3.8,61,268,44
Jordan Amavi,Marseille,FRA,DF,24,28,24,2177,24.2,0,2,2,0,0,0,7,2,0.8,0.8,2.0,2.8,74,82,98
Valère Germain,Marseille,FRA,FW,28,36,23,2170,24.1,8,2,10,8,0,0,1,0,4.8,4.8,3.2,7.9,9,29,111
Dimitri Payet,Marseille,FRA,"MF,FW",31,31,23,1904,21.2,4,6,10,2,2,3,3,0,5.6,3.2,6.7,9.9,55,119,149
Kevin Strootman,Marseille,NED,MF,28,28,21,1942,21.6,1,5,6,1,0,0,7,0,2.0,2.0,2.6,4.6,24,116,33
Duje Ćaleta-Car,Marseille,CRO,DF,21,20,17,1547,17.2,0,0,0,0,0,0,1,2,0.8,0.8,0.0,0.8,13,40,2
Adil Rami,Marseille,FRA,DF,32,16,16,1412,15.7,1,1,2,1,0,0,2,0,1.6,1.6,1.6,3.3,11,44,6
Mario Balotelli,Marseille,ITA,FW,27,15,12,933,10.4,8,0,8,8,0,0,5,1,5.5,5.5,0.7,6.2,17,18,38
Rolando,Marseille,POR,DF,32,10,9,804,8.9,0,0,0,0,0,0,2,0,1.1,1.1,0.0,1.1,2,13,2
Yohann Pelé,Marseille,FRA,GK,35,9,7,682,7.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Nemanja Radonjić,Marseille,SRB,"FW,MF",22,17,7,681,7.6,0,0,0,0,0,0,2,0,1.1,1.1,0.2,1.3,28,15,65
Kostas Mitroglou,Marseille,GRE,FW,30,14,7,580,6.4,3,0,3,3,0,0,0,0,4.4,4.4,0.2,4.6,3,5,22
Clinton N'Jie,Marseille,CMR,FW,24,17,3,364,4.0,3,2,5,3,0,0,0,0,1.0,1.0,0.9,1.9,15,5,36
Grégory Sertic,Marseille,FRA,MF,28,4,1,108,1.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,0,1,0
Tomáš Hubočan,Marseille,SVK,DF,32,2,0,69,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,2,0
Christopher Rocchia,Marseille,FRA,DF,20,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,3
Benjamin Lecomte,Montpellier,FRA,GK,27,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
Daniel Congré,Montpellier,FRA,DF,33,37,37,3292,36.6,2,2,4,2,0,0,5,1,2.3,2.3,0.8,3.1,22,169,20
Vitorino Hilton,Montpellier,BRA,DF,40,36,36,3232,35.9,0,2,2,0,0,0,5,1,2.2,2.2,0.8,3.0,12,114,5
Andy Delort,Montpellier,ALG,FW,26,36,36,3115,34.6,14,7,21,11,3,3,4,0,15.2,12.8,8.3,21.1,79,102,345
Ellyes Skhiri,Montpellier,TUN,MF,23,37,35,3090,34.3,3,2,5,3,0,0,5,0,1.2,1.2,1.2,2.3,38,175,52
Gaëtan Laborde,Montpellier,FRA,"FW,MF",24,36,35,2895,32.2,11,4,15,11,0,0,1,1,9.8,9.8,5.8,15.6,100,95,246
Damien Le Tallec,Montpellier,FRA,MF,28,36,31,2805,31.2,3,0,3,3,0,0,3,0,4.1,4.1,1.1,5.1,9,125,28
Pedro Mendes,Montpellier,POR,DF,27,31,31,2667,29.6,1,0,1,1,0,0,7,0,0.9,0.9,0.4,1.2,23,93,5
Florent Mollet,Montpellier,FRA,MF,26,32,31,2564,28.5,6,4,10,6,0,0,6,1,3.9,3.9,7.1,11.1,67,168,228
Ruben Aguilar,Montpellier,FRA,DF,25,29,29,2528,28.1,1,4,5,1,0,0,8,0,0.9,0.9,2.5,3.4,85,128,155
Ambroise Oyongo,Montpellier,CMR,DF,27,26,25,2136,23.7,2,0,2,2,0,0,5,0,1.1,1.1,1.2,2.3,52,87,109
Paul Lasne,Montpellier,FRA,"MF,DF",29,35,18,1789,19.9,2,0,2,2,0,0,5,0,1.4,1.4,1.7,3.1,28,103,72
Nicolas Cozza,Montpellier,FRA,DF,19,12,11,984,10.9,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,12,35,14
Junior Sambia,Montpellier,FRA,"MF,FW",21,30,7,926,10.3,0,1,1,0,0,0,3,0,2.1,2.1,1.6,3.7,35,38,77
Mathías Suárez,Montpellier,URU,DF,22,10,7,550,6.1,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,6,17,21
Petar Škuletić,Montpellier,SRB,FW,28,28,4,603,6.7,1,1,2,1,0,0,0,0,3.8,3.8,1.7,5.6,5,13,38
Mihailo Ristić,Montpellier,SRB,"DF,MF",22,10,3,326,3.6,1,0,1,1,0,0,0,0,1.0,1.0,0.1,1.2,10,8,30
Keagan Dolly,Montpellier,RSA,FW,25,3,2,88,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,2,7,5
Dimitry Bertaud,Montpellier,COD,GK,20,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Morgan Poaty,Montpellier,CGO,MF,21,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,4,3,5
Giovanni Sio,Montpellier,CIV,FW,29,1,1,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,7
Souleymane Camara,Montpellier,SEN,"FW,MF",35,12,0,137,1.5,3,0,3,3,0,0,0,0,0.9,0.9,0.2,1.1,4,5,21
Facundo Píriz,Montpellier,URU,"MF,FW",28,6,0,116,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,7,0
Bilal Boutobba,Montpellier,FRA,"FW,MF",19,2,0,32,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,7,3,2
Yanis Ammour,Montpellier,FRA,MF,19,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
Dante,Nice,BRA,DF,34,36,36,3226,35.8,1,1,2,1,0,0,11,0,1.8,1.8,0.3,2.0,10,81,2
Walter Benítez,Nice,ARG,GK,25,35,35,3150,35.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0
Malang Sarr,Nice,FRA,DF,19,35,34,2994,33.3,1,1,2,1,0,0,1,0,1.0,1.0,0.5,1.5,21,140,25
Adrien Tameze,Nice,CMR,MF,24,37,34,2942,32.7,0,3,3,0,0,0,7,0,1.0,1.0,1.4,2.4,31,163,60
