Player,Club,Nation,Pos,Age,Minutes,Fouls,Interceptions,Clearances,Errors,Blocked passes and shots,Tackles in defensive 1/3,Tackles in middle 1/3,Tackles in attacking 1/3,Progressive Carrying Distance,Assists,Red cards,Yellow cards,% of tackles won
Pedro Porro,Girona,ESP,DF,18,2211,37.63297872340425,56.91489361702128,15.02659574468085,55.98404255319149,69.41489361702128,48.005319148936174,59.70744680851063,84.70744680851064,64.62765957446808,91.75531914893617,0.0,42.02127659574468,34.840425531914896
Pedro Alcalá,Girona,ESP,DF,29,1868,48.53723404255319,70.74468085106383,85.63829787234043,0.0,28.856382978723406,44.9468085106383,33.37765957446808,0.0,21.143617021276594,61.96808510638297,0.0,93.88297872340425,96.54255319148936
Jonás Ramalho,Girona,ESP,DF,25,1619,26.329787234042552,41.755319148936174,63.829787234042556,62.36702127659575,60.1063829787234,11.436170212765957,1.196808510638298,0.0,42.02127659574468,0.0,0.0,60.90425531914894,58.909574468085104
Marc Muniesa,Girona,ESP,DF,26,1406,77.12765957446808,96.67553191489363,31.648936170212767,67.2872340425532,42.28723404255319,86.43617021276596,89.49468085106383,88.56382978723404,35.1063829787234,0.0,0.0,90.95744680851064,91.62234042553192
Valery Fernández,Girona,ESP,DF,18,888,36.96808510638298,43.351063829787236,0.13297872340425532,0.0,72.6063829787234,61.702127659574465,55.319148936170215,50.26595744680851,39.09574468085106,79.92021276595744,0.0,53.72340425531915,95.2127659574468
Aday,Girona,ESP,DF,30,645,21.808510638297875,11.436170212765957,13.696808510638297,90.55851063829788,0.0,1.0638297872340425,65.55851063829788,84.04255319148936,65.02659574468085,98.00531914893617,0.0,75.2659574468085,94.41489361702128
Carles Planas,Girona,ESP,DF,27,419,43.08510638297872,7.446808510638298,34.70744680851064,0.0,1.0638297872340425,75.66489361702128,88.82978723404256,0.0,36.43617021276596,95.07978723404256,0.0,99.20212765957447,5.053191489361701
Jorge Pulido,Huesca,ESP,DF,27,2785,81.78191489361703,51.99468085106383,77.6595744680851,0.0,53.8563829787234,59.97340425531915,56.25,57.84574468085106,6.382978723404255,78.19148936170212,93.75,77.92553191489363,55.452127659574465
Xabier Etxeita,Huesca,ESP,DF,30,2677,53.058510638297875,27.659574468085108,82.31382978723404,81.25,55.452127659574465,41.888297872340424,29.388297872340424,50.13297872340425,15.292553191489361,0.0,0.0,85.1063829787234,7.446808510638298
Jorge Miramón,Huesca,ESP,DF,29,2492,36.702127659574465,56.38297872340425,13.164893617021276,53.72340425531915,50.39893617021277,88.16489361702128,56.11702127659575,81.38297872340425,41.3563829787234,0.0,0.0,47.47340425531915,81.38297872340425
