Player,Nation,Age,Club,90 minutes played,Minutes played,Position,Passes completed,Passes attempted,Completed passes %,Total pass distance,Progressive pass distance,Short passes completed,Short passes attempted,Short passes completed %,Medium passes completed,Medium passes attempted,Medium passes completed %,Long passes completed,Long passes attempted,Long passes completed %,Assists,Expected Assisted Goals,Expected Assists,A minus xAG,Key Passes,Passes into final third,Passes into penalty area,Crosses into penalty area,Progressive passes,Shot creating actions,Shot creating actions per 90,Shot creating actions by live-ball passes,Shot creating actions by dead-ball passes,Successful Take-Ons that led to a shot,Shots that led to another shot attempt,Fouls drawn that led to a shot attempt,Defensive actions that led to a shot attempt,Goal creating actions,Goal creating actions per 90,Goal creating actions by live-ball passes,Goal creating actions by dead-ball passes,Successful Take-Ons that led to a goal,Shots that led to another goal-scoring shot,Fouls drawn that led to a goal,Defensive actions that led to a goal,Goals,Shots on target,Shots on target %,Shots per 90,Shots on target per 90,Goals per shot,Goals per shot on target,Average shooting distance,Shots from free kicks,Penalty kicks made,Penalty kicks attempted,Expected Goals,Non-penalty expected goals,Non-penalty expected goals/Shot,Goals minus expected Goals,Non-penalty goals minus non-penalty expected Goals,Tackles,Tackles won,Tackles in defensive 1/3,Tackles in middle 1/3,Tackles in attacking 1/3,Dribblers tackled,% of dribblers tackled,Challenges lost,Balls blocked,Passes blocked,Interceptions,Number of tackles and interceptions,Clearances,Errors,Tackles won %,Touches,Touches in defensive penalty area,Touches in defensive 1/3,Touches in middle 1/3,Touches in attacking 1/3,Touches in attacking penalty area,Live-ball touches,Take ons attempted,Successful take ons,Successful take ons %,Times tackled during take on,Times tackled during take on %,Times ball carried with feet,Total moved ball distance,Progressive moved ball distance,Progressive Carries,Carries into final 1/3,Carries into penalty area,Miscontrols,Dispossessed,Passes received,Progressive Passes Received,Yellow cards,Red cards,Second yellow card,Fouls committed,Offsides,Crosses,Penalty kicks won,Penalty kicks conceded,Own goals,Recoveries,Aerial duels won,Aerial duels won %
Jonathan Tah,GER,22,Bayer Leverkusen,32.6,2937,DF,2450.0,2740.0,89.4,47469.0,12526.0,791.0,855.0,92.5,1368.0,1478.0,92.6,247.0,329.0,75.1,1.0,0.7,1.0,0.3,8.0,208.0,11.0,1.0,236.0,29.0,0.81,28.0,0.0,0.0,1.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0,3,5.0,38.5,0.35,0.13,0.23,0.6,10.4,0.0,0,0,1.2,1.2,0.09,1.8,1.8,49.0,35.0,33.0,12.0,4.0,20.0,55.6,16.0,43.0,16.0,49.0,96.0,149.0,1.0,0.7142857142857143,3070.0,213.0,1113.0,1875.0,96.0,29.0,3070.0,20.0,17.0,85.0,3.0,15.0,1778.0,9543.0,5682.0,29.0,19.0,2.0,17.0,12.0,2154.0,6.0,3.0,0.0,0.0,18.0,2.0,4.0,0.0,2.0,0.0,289.0,79.0,69.9
Kai Havertz,GER,19,Bayer Leverkusen,32.2,2894,MF,1790.0,2090.0,85.6,26753.0,5496.0,986.0,1098.0,89.8,554.0,622.0,89.1,132.0,161.0,82.0,6.0,3.8,5.5,2.2,45.0,148.0,53.0,3.0,250.0,146.0,3.96,114.0,1.0,8.0,8.0,12.0,3.0,20.0,0.54,18.0,0.0,0.0,1.0,1.0,0.0,20,47.0,43.5,2.78,1.21,0.16,0.36,17.6,3.0,3,3,13.6,11.2,0.11,6.4,5.8,30.0,22.0,10.0,15.0,5.0,9.0,24.3,28.0,38.0,34.0,21.0,50.0,31.0,0.0,0.7333333333333333,2549.0,38.0,224.0,1386.0,968.0,149.0,2546.0,98.0,56.0,57.1,42.0,42.9,1466.0,8702.0,3978.0,127.0,86.0,32.0,93.0,74.0,2091.0,294.0,2.0,0.0,0.0,32.0,7.0,28.0,0.0,0.0,0.0,183.0,61.0,47.7
Lukáš Hrádecký,FIN,28,Bayer Leverkusen,32.0,2880,GK,1284.0,1598.0,80.4,35968.0,25564.0,181.0,181.0,100.0,639.0,651.0,98.2,462.0,759.0,60.9,0.0,0.1,0.3,-0.1,1.0,19.0,1.0,0.0,0.0,3.0,0.08,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,13.0,1.0,,1674.0,1205.0,1658.0,16.0,0.0,0.0,1674.0,0.0,0.0,,0.0,,901.0,5623.0,3346.0,0.0,0.0,0.0,1.0,0.0,967.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,7.0,87.5
Kevin Volland,GER,26,Bayer Leverkusen,31.3,2814,FW,769.0,1065.0,72.2,11215.0,2975.0,419.0,510.0,82.2,236.0,314.0,75.2,50.0,90.0,55.6,13.0,10.2,8.4,2.8,51.0,61.0,49.0,16.0,108.0,105.0,2.98,78.0,0.0,8.0,7.0,11.0,1.0,21.0,0.6,15.0,0.0,0.0,2.0,4.0,0.0,15,45.0,46.4,2.59,1.2,0.15,0.33,14.5,2.0,0,0,14.2,14.2,0.15,-0.2,-0.2,40.0,23.0,10.0,17.0,13.0,16.0,53.3,14.0,21.0,20.0,8.0,48.0,37.0,0.0,0.575,1461.0,39.0,142.0,651.0,682.0,181.0,1461.0,65.0,34.0,52.3,31.0,47.7,753.0,3834.0,1744.0,80.0,41.0,35.0,108.0,67.0,1108.0,305.0,5.0,0.0,0.0,47.0,23.0,69.0,3.0,1.0,0.0,103.0,38.0,37.3
Julian Brandt,GER,22,Bayer Leverkusen,29.6,2666,MF,1672.0,2192.0,76.3,25978.0,7316.0,881.0,1021.0,86.3,513.0,644.0,79.7,163.0,300.0,54.3,13.0,10.0,10.0,3.0,96.0,139.0,71.0,12.0,228.0,198.0,5.79,139.0,30.0,12.0,11.0,4.0,2.0,33.0,0.97,22.0,6.0,1.0,3.0,1.0,0.0,10,31.0,37.3,2.24,0.84,0.12,0.32,19.3,3.0,0,0,9.0,9.0,0.12,-1.0,-1.0,36.0,20.0,13.0,15.0,8.0,10.0,18.9,43.0,29.0,28.0,24.0,56.0,13.0,1.0,0.5555555555555556,2575.0,12.0,285.0,1196.0,1121.0,135.0,2575.0,118.0,66.0,55.9,52.0,44.1,1382.0,9155.0,4219.0,126.0,89.0,39.0,90.0,53.0,1946.0,331.0,0.0,0.0,0.0,19.0,6.0,184.0,0.0,0.0,0.0,220.0,38.0,50.0
Wendell,BRA,25,Bayer Leverkusen,25.3,2277,DF,2112.0,2506.0,84.3,33818.0,11223.0,1055.0,1146.0,92.1,841.0,973.0,86.4,135.0,225.0,60.0,2.0,2.3,3.0,-0.3,24.0,133.0,20.0,6.0,182.0,59.0,1.79,53.0,2.0,0.0,1.0,1.0,2.0,5.0,0.15,5.0,0.0,0.0,0.0,0.0,0.0,2,5.0,50.0,0.28,0.14,0.1,0.2,25.8,1.0,1,2,2.8,1.3,0.13,-0.8,-0.3,95.0,66.0,58.0,30.0,7.0,47.0,61.8,29.0,55.0,41.0,44.0,133.0,76.0,0.0,0.6947368421052632,2848.0,105.0,757.0,1657.0,452.0,19.0,2846.0,18.0,9.0,50.0,9.0,50.0,1286.0,6243.0,3847.0,63.0,50.0,2.0,28.0,10.0,1784.0,95.0,8.0,0.0,0.0,48.0,4.0,65.0,0.0,0.0,0.0,209.0,48.0,50.0
Sven Bender,GER,29,Bayer Leverkusen,22.1,1991,DF,1667.0,1853.0,90.0,32082.0,10761.0,556.0,608.0,91.4,912.0,968.0,94.2,180.0,230.0,78.3,0.0,0.4,0.4,-0.4,4.0,70.0,4.0,0.0,109.0,15.0,0.6,12.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3.0,18.8,0.59,0.11,0.0,0.0,12.9,0.0,0,0,1.2,1.2,0.08,-1.2,-1.2,44.0,31.0,28.0,16.0,0.0,19.0,57.6,14.0,38.0,20.0,67.0,105.0,105.0,0.0,0.7045454545454546,2148.0,147.0,884.0,1218.0,57.0,20.0,2148.0,6.0,5.0,83.3,1.0,16.7,1104.0,5916.0,2799.0,12.0,9.0,1.0,13.0,3.0,1430.0,0.0,4.0,0.0,0.0,26.0,2.0,1.0,0.0,0.0,1.0,165.0,81.0,60.9
Mitchell Weiser,GER,24,Bayer Leverkusen,23.5,2111,DF,1736.0,2165.0,80.2,24635.0,9720.0,1053.0,1157.0,91.0,519.0,648.0,80.1,80.0,174.0,46.0,3.0,4.4,5.2,-1.4,42.0,104.0,55.0,18.0,153.0,83.0,2.68,69.0,5.0,4.0,1.0,1.0,3.0,6.0,0.19,5.0,0.0,0.0,1.0,0.0,0.0,2,8.0,50.0,0.47,0.24,0.13,0.25,20.2,0.0,0,0,0.6,0.6,0.04,1.4,1.4,80.0,60.0,41.0,30.0,9.0,33.0,55.9,26.0,39.0,35.0,44.0,118.0,57.0,0.0,0.75,2536.0,86.0,536.0,1214.0,803.0,45.0,2536.0,83.0,41.0,49.4,42.0,50.6,1104.0,5517.0,3185.0,94.0,67.0,10.0,53.0,32.0,1623.0,225.0,5.0,0.0,0.0,41.0,4.0,118.0,0.0,1.0,1.0,160.0,28.0,33.7
Charles Aránguiz,CHI,29,Bayer Leverkusen,21.0,1891,MF,1678.0,1937.0,86.6,27250.0,8875.0,848.0,922.0,92.0,599.0,665.0,90.1,149.0,197.0,75.6,8.0,3.7,3.7,4.3,35.0,194.0,27.0,5.0,234.0,81.0,3.32,71.0,4.0,1.0,4.0,1.0,0.0,13.0,0.53,12.0,0.0,0.0,1.0,0.0,0.0,3,7.0,24.1,1.14,0.28,0.1,0.43,23.6,4.0,0,0,1.6,1.6,0.06,1.4,1.4,53.0,34.0,22.0,24.0,7.0,22.0,30.6,50.0,39.0,37.0,34.0,86.0,31.0,1.0,0.6415094339622641,2215.0,50.0,345.0,1463.0,420.0,40.0,2215.0,25.0,14.0,56.0,11.0,44.0,1045.0,4735.0,2469.0,28.0,29.0,1.0,32.0,32.0,1612.0,70.0,3.0,0.0,0.0,30.0,1.0,29.0,0.0,0.0,0.0,182.0,16.0,53.3
Leon Bailey,JAM,20,Bayer Leverkusen,21.3,1914,FW,852.0,1276.0,66.8,13719.0,3953.0,460.0,560.0,82.1,258.0,368.0,70.1,92.0,227.0,40.5,3.0,5.7,6.2,-2.7,64.0,47.0,41.0,20.0,98.0,123.0,4.52,72.0,22.0,15.0,8.0,6.0,0.0,6.0,0.22,4.0,1.0,0.0,1.0,0.0,0.0,5,24.0,30.8,2.75,0.85,0.06,0.21,20.4,14.0,0,0,6.5,6.5,0.09,-1.5,-1.5,19.0,16.0,12.0,3.0,4.0,8.0,28.6,20.0,24.0,24.0,21.0,40.0,11.0,1.0,0.8421052631578947,1605.0,18.0,193.0,602.0,841.0,118.0,1605.0,110.0,69.0,62.7,41.0,37.3,910.0,6602.0,3353.0,136.0,71.0,36.0,81.0,51.0,1120.0,317.0,5.0,0.0,0.0,25.0,7.0,230.0,0.0,0.0,0.0,159.0,20.0,52.6
Lars Bender,GER,29,Bayer Leverkusen,15.1,1361,MF,936.0,1134.0,82.5,14076.0,5425.0,509.0,580.0,87.8,320.0,366.0,87.4,52.0,91.0,57.1,4.0,1.7,3.1,2.3,18.0,82.0,15.0,3.0,117.0,40.0,2.17,33.0,4.0,0.0,2.0,1.0,0.0,7.0,0.38,7.0,0.0,0.0,0.0,0.0,0.0,1,6.0,30.0,1.0,0.3,0.05,0.17,16.7,0.0,0,0,1.2,1.2,0.07,-0.2,-0.2,51.0,37.0,22.0,25.0,4.0,21.0,51.2,20.0,29.0,25.0,38.0,80.0,29.0,0.0,0.7254901960784313,1332.0,41.0,288.0,763.0,288.0,42.0,1332.0,17.0,11.0,64.7,6.0,35.3,588.0,2791.0,1460.0,22.0,30.0,3.0,23.0,6.0,807.0,80.0,5.0,0.0,0.0,37.0,1.0,25.0,0.0,0.0,0.0,112.0,47.0,54.7
Julian Baumgartlinger,AUT,30,Bayer Leverkusen,17.3,1559,MF,1429.0,1600.0,89.3,23291.0,5716.0,724.0,789.0,91.8,500.0,544.0,91.9,134.0,157.0,85.4,1.0,1.0,2.7,0.0,14.0,116.0,19.0,0.0,137.0,45.0,2.22,42.0,1.0,0.0,2.0,0.0,0.0,5.0,0.25,4.0,0.0,0.0,1.0,0.0,0.0,0,0.0,0.0,0.6,0.0,0.0,,22.1,0.0,0,0,0.7,0.7,0.06,-0.7,-0.7,62.0,40.0,27.0,27.0,8.0,23.0,43.4,30.0,21.0,15.0,27.0,89.0,24.0,1.0,0.6451612903225806,1798.0,54.0,375.0,1147.0,282.0,26.0,1798.0,20.0,15.0,75.0,5.0,25.0,853.0,3822.0,1910.0,24.0,18.0,2.0,16.0,21.0,1309.0,31.0,4.0,0.0,0.0,32.0,0.0,2.0,0.0,0.0,0.0,156.0,33.0,54.1
Karim Bellarabi,GER,28,Bayer Leverkusen,11.7,1057,FW,455.0,661.0,68.8,6641.0,2029.0,264.0,315.0,83.8,139.0,200.0,69.5,30.0,71.0,42.3,5.0,5.8,5.5,-0.8,31.0,28.0,35.0,9.0,65.0,61.0,4.14,50.0,0.0,3.0,5.0,1.0,2.0,9.0,0.61,8.0,0.0,0.0,1.0,0.0,0.0,9,16.0,28.1,3.6,1.01,0.16,0.56,20.0,0.0,0,0,3.8,3.8,0.07,3.2,3.2,18.0,10.0,10.0,4.0,4.0,7.0,25.9,20.0,16.0,16.0,11.0,29.0,9.0,0.0,0.5555555555555556,851.0,4.0,108.0,301.0,462.0,56.0,851.0,57.0,29.0,50.9,28.0,49.1,548.0,4197.0,2218.0,67.0,53.0,17.0,27.0,36.0,682.0,184.0,5.0,1.0,0.0,22.0,6.0,89.0,0.0,0.0,0.0,77.0,2.0,28.6
Aleksandar Dragović,AUT,27,Bayer Leverkusen,14.8,1335,DF,1377.0,1529.0,90.1,28722.0,9927.0,423.0,456.0,92.8,713.0,759.0,93.9,227.0,280.0,81.1,1.0,0.5,0.4,0.5,5.0,78.0,2.0,0.0,96.0,15.0,0.7,13.0,0.0,0.0,1.0,1.0,0.0,2.0,0.09,2.0,0.0,0.0,0.0,0.0,0.0,2,2.0,28.6,0.31,0.09,0.29,1.0,11.6,0.0,0,0,1.0,1.0,0.16,1.0,1.0,24.0,19.0,18.0,6.0,0.0,13.0,61.9,8.0,21.0,9.0,42.0,63.0,87.0,0.0,0.7916666666666666,1729.0,106.0,618.0,1069.0,49.0,11.0,1729.0,1.0,1.0,100.0,0.0,0.0,941.0,4805.0,3277.0,17.0,15.0,1.0,9.0,3.0,1228.0,3.0,8.0,0.0,0.0,19.0,1.0,0.0,0.0,1.0,0.0,114.0,42.0,58.3
Tin Jedvaj,CRO,22,Bayer Leverkusen,12.5,1121,DF,675.0,851.0,79.3,11559.0,4347.0,316.0,366.0,86.3,277.0,324.0,85.5,61.0,104.0,58.7,0.0,0.2,1.1,-0.2,3.0,48.0,6.0,0.0,58.0,16.0,1.1,11.0,0.0,1.0,1.0,1.0,2.0,1.0,0.07,1.0,0.0,0.0,0.0,0.0,0.0,2,5.0,41.7,0.73,0.31,0.17,0.4,19.8,0.0,0,0,0.9,0.9,0.08,0.1,0.1,25.0,19.0,10.0,9.0,6.0,10.0,52.6,9.0,29.0,27.0,29.0,51.0,61.0,0.0,0.76,1044.0,60.0,330.0,556.0,163.0,17.0,1044.0,13.0,8.0,61.5,5.0,38.5,460.0,2401.0,1229.0,22.0,16.0,4.0,19.0,8.0,622.0,36.0,4.0,0.0,0.0,18.0,1.0,11.0,0.0,0.0,0.0,57.0,28.0,59.6
Lucas Alario,ARG,25,Bayer Leverkusen,14.1,1265,FW,433.0,569.0,76.1,5364.0,1019.0,256.0,310.0,82.6,93.0,130.0,71.5,21.0,24.0,87.5,3.0,1.6,1.5,1.4,20.0,14.0,12.0,0.0,39.0,45.0,2.41,38.0,0.0,1.0,3.0,3.0,0.0,7.0,0.38,5.0,0.0,0.0,2.0,0.0,0.0,14,25.0,36.8,3.33,1.22,0.18,0.48,13.6,0.0,2,2,9.8,9.0,0.14,3.2,3.0,19.0,12.0,6.0,6.0,7.0,6.0,31.6,13.0,15.0,15.0,3.0,21.0,21.0,0.0,0.631578947368421,796.0,21.0,79.0,344.0,377.0,105.0,795.0,27.0,10.0,37.0,17.0,63.0,424.0,1857.0,677.0,23.0,14.0,10.0,51.0,36.0,634.0,117.0,1.0,0.0,0.0,31.0,20.0,6.0,0.0,0.0,0.0,53.0,50.0,36.8
Dominik Kohr,GER,24,Bayer Leverkusen,10.8,973,MF,680.0,841.0,80.9,10952.0,3269.0,317.0,356.0,89.0,267.0,314.0,85.0,50.0,83.0,60.2,4.0,1.8,0.8,2.2,11.0,64.0,10.0,1.0,90.0,35.0,2.23,25.0,0.0,1.0,4.0,1.0,4.0,9.0,0.57,4.0,0.0,0.0,2.0,1.0,2.0,2,7.0,24.1,1.79,0.43,0.07,0.29,21.6,0.0,0,0,2.4,2.4,0.08,-0.4,-0.4,55.0,40.0,27.0,27.0,1.0,16.0,41.0,23.0,33.0,21.0,29.0,84.0,22.0,1.0,0.7272727272727273,1053.0,37.0,228.0,629.0,207.0,26.0,1053.0,11.0,5.0,45.5,6.0,54.5,463.0,2341.0,1203.0,28.0,32.0,4.0,18.0,15.0,675.0,28.0,7.0,0.0,0.0,33.0,0.0,5.0,1.0,0.0,0.0,117.0,22.0,52.4
Yann Sommer,SUI,29,Monchengladbach,34.0,3060,GK,1281.0,1607.0,79.7,33859.0,20939.0,201.0,201.0,100.0,698.0,706.0,98.9,378.0,689.0,54.9,0.0,0.0,0.1,0.0,1.0,17.0,1.0,0.0,1.0,4.0,0.12,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,100.0,0.0,1.0,1.0,1.0,3.0,12.0,5.0,1.0,1680.0,1196.0,1666.0,15.0,0.0,0.0,1680.0,2.0,2.0,100.0,0.0,0.0,971.0,5973.0,3657.0,0.0,0.0,0.0,2.0,0.0,921.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,86.0,10.0,90.9
Thorgan Hazard,BEL,25,Monchengladbach,31.9,2873,FW,975.0,1392.0,70.0,16305.0,5263.0,500.0,602.0,83.1,322.0,440.0,73.2,109.0,228.0,47.8,12.0,8.9,9.7,3.1,73.0,74.0,53.0,9.0,130.0,144.0,4.51,89.0,32.0,7.0,7.0,8.0,1.0,15.0,0.47,12.0,3.0,0.0,0.0,0.0,0.0,13,25.0,31.3,2.36,0.74,0.11,0.36,21.6,7.0,4,6,9.8,5.9,0.08,0.2,1.1,50.0,33.0,22.0,20.0,8.0,17.0,35.4,31.0,35.0,33.0,29.0,77.0,12.0,0.0,0.66,1775.0,24.0,229.0,678.0,902.0,122.0,1770.0,120.0,71.0,59.2,49.0,40.8,1018.0,8634.0,5006.0,167.0,124.0,30.0,71.0,50.0,1208.0,321.0,1.0,0.0,0.0,27.0,20.0,195.0,0.0,1.0,0.0,176.0,21.0,22.3
Oscar Wendt,SWE,32,Monchengladbach,30.3,2731,DF,1478.0,1862.0,79.4,25090.0,8648.0,687.0,760.0,90.4,641.0,772.0,83.0,125.0,249.0,50.2,2.0,2.5,3.0,-0.5,28.0,104.0,26.0,15.0,151.0,53.0,1.75,41.0,7.0,1.0,2.0,2.0,0.0,2.0,0.07,2.0,0.0,0.0,0.0,0.0,0.0,1,5.0,55.6,0.28,0.16,0.11,0.2,22.9,3.0,0,0,0.5,0.5,0.06,0.5,0.5,45.0,36.0,34.0,8.0,3.0,31.0,58.5,22.0,37.0,26.0,22.0,64.0,90.0,0.0,0.8,2106.0,88.0,581.0,1110.0,431.0,33.0,2106.0,17.0,7.0,41.2,10.0,58.8,999.0,4640.0,2502.0,50.0,35.0,1.0,20.0,6.0,1323.0,141.0,2.0,0.0,0.0,28.0,2.0,83.0,0.0,0.0,0.0,139.0,25.0,42.4
Nico Elvedi,SUI,21,Monchengladbach,29.1,2623,DF,1932.0,2086.0,92.6,37150.0,10560.0,594.0,642.0,92.5,1153.0,1204.0,95.8,167.0,202.0,82.7,1.0,0.7,0.6,0.3,3.0,80.0,3.0,0.0,118.0,21.0,0.72,18.0,1.0,0.0,1.0,0.0,1.0,5.0,0.17,5.0,0.0,0.0,0.0,0.0,0.0,2,3.0,21.4,0.46,0.1,0.14,0.67,9.5,0.0,0,0,1.4,1.4,0.1,0.6,0.6,41.0,19.0,34.0,7.0,0.0,23.0,69.7,10.0,30.0,17.0,52.0,88.0,135.0,6.0,0.4634146341463415,2379.0,195.0,967.0,1364.0,59.0,21.0,2379.0,11.0,9.0,81.8,2.0,18.2,1455.0,10353.0,6925.0,53.0,19.0,1.0,8.0,4.0,1699.0,11.0,1.0,0.0,0.0,17.0,1.0,1.0,0.0,0.0,0.0,157.0,80.0,60.2
Alassane Pléa,FRA,25,Monchengladbach,27.8,2503,FW,450.0,641.0,70.2,6351.0,1594.0,261.0,335.0,77.9,116.0,158.0,73.4,31.0,44.0,70.5,4.0,2.8,2.1,1.2,33.0,41.0,19.0,2.0,63.0,78.0,2.8,53.0,0.0,8.0,11.0,5.0,1.0,6.0,0.22,4.0,0.0,1.0,1.0,0.0,0.0,15,44.0,48.9,3.12,1.53,0.17,0.34,15.3,0.0,0,0,10.4,10.3,0.12,1.6,1.7,14.0,10.0,7.0,4.0,3.0,5.0,22.7,17.0,17.0,15.0,3.0,17.0,15.0,2.0,0.7142857142857143,943.0,17.0,79.0,387.0,482.0,124.0,943.0,43.0,23.0,53.5,20.0,46.5,578.0,3344.0,1578.0,65.0,27.0,29.0,79.0,53.0,735.0,214.0,2.0,0.0,0.0,36.0,22.0,17.0,0.0,0.0,0.0,80.0,36.0,29.5
Matthias Ginter,GER,24,Monchengladbach,26.4,2379,DF,1537.0,1790.0,85.9,31980.0,9493.0,432.0,481.0,89.8,890.0,955.0,93.2,198.0,314.0,63.1,0.0,1.0,1.0,-1.0,9.0,129.0,9.0,2.0,151.0,31.0,1.17,21.0,0.0,0.0,8.0,1.0,1.0,2.0,0.08,1.0,0.0,0.0,1.0,0.0,0.0,2,9.0,36.0,0.88,0.32,0.08,0.22,11.9,0.0,0,0,1.8,1.8,0.08,0.2,0.2,24.0,14.0,16.0,7.0,1.0,9.0,52.9,8.0,31.0,12.0,21.0,41.0,98.0,1.0,0.5833333333333334,2011.0,146.0,811.0,1102.0,109.0,41.0,2011.0,2.0,1.0,50.0,1.0,50.0,1261.0,8990.0,6547.0,61.0,26.0,0.0,9.0,6.0,1506.0,19.0,2.0,0.0,0.0,13.0,2.0,9.0,0.0,0.0,0.0,115.0,67.0,60.4
Tobias Strobl,GER,28,Monchengladbach,25.5,2293,MF,1340.0,1493.0,89.8,27795.0,8710.0,401.0,435.0,92.2,704.0,739.0,95.3,218.0,279.0,78.1,4.0,1.6,2.1,2.4,17.0,132.0,13.0,0.0,121.0,34.0,1.34,33.0,1.0,0.0,0.0,0.0,0.0,5.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0,0,2.0,25.0,0.3,0.08,0.0,0.0,16.2,0.0,0,0,0.9,0.9,0.12,-0.9,-0.9,31.0,21.0,17.0,13.0,1.0,9.0,31.0,20.0,36.0,22.0,32.0,60.0,35.0,1.0,0.6774193548387096,1684.0,80.0,548.0,1077.0,72.0,14.0,1684.0,7.0,5.0,71.4,2.0,28.6,948.0,4842.0,2567.0,17.0,15.0,1.0,20.0,10.0,1251.0,10.0,4.0,0.0,0.0,27.0,1.0,0.0,0.0,0.0,0.0,117.0,38.0,50.0
Florian Neuhaus,GER,21,Monchengladbach,22.9,2062,MF,734.0,905.0,81.1,12546.0,2781.0,323.0,368.0,87.8,304.0,346.0,87.9,78.0,109.0,71.6,8.0,3.1,3.0,4.9,29.0,66.0,30.0,5.0,120.0,84.0,3.67,62.0,0.0,8.0,8.0,5.0,1.0,14.0,0.61,8.0,0.0,3.0,2.0,1.0,0.0,4,15.0,25.0,2.46,0.61,0.07,0.27,19.6,0.0,0,0,5.7,5.7,0.11,-2.7,-2.7,22.0,17.0,9.0,9.0,4.0,10.0,27.8,26.0,20.0,19.0,12.0,32.0,23.0,0.0,0.7727272727272727,1137.0,25.0,152.0,630.0,366.0,61.0,1137.0,53.0,29.0,54.7,23.0,43.4,703.0,4277.0,2253.0,62.0,59.0,14.0,37.0,35.0,899.0,116.0,5.0,0.0,0.0,29.0,1.0,23.0,3.0,0.0,0.0,110.0,7.0,25.9
Denis Zakaria,SUI,21,Monchengladbach,21.8,1959,MF,629.0,768.0,81.9,10633.0,2609.0,274.0,309.0,88.7,278.0,315.0,88.3,46.0,74.0,62.2,0.0,0.7,0.7,-0.7,16.0,67.0,11.0,2.0,90.0,39.0,1.79,34.0,0.0,1.0,4.0,0.0,0.0,7.0,0.32,5.0,0.0,0.0,2.0,0.0,0.0,4,13.0,36.1,1.64,0.59,0.11,0.31,18.2,0.0,0,0,3.8,3.8,0.11,0.2,0.2,40.0,21.0,15.0,24.0,1.0,12.0,40.0,18.0,38.0,29.0,26.0,66.0,20.0,0.0,0.525,1024.0,39.0,198.0,589.0,255.0,41.0,1024.0,53.0,29.0,54.7,24.0,45.3,597.0,3976.0,2258.0,56.0,41.0,10.0,36.0,23.0,684.0,82.0,7.0,0.0,0.0,31.0,1.0,14.0,0.0,0.0,0.0,132.0,16.0,45.7
Jonas Hofmann,GER,26,Monchengladbach,21.2,1911,MF,910.0,1125.0,80.9,15993.0,4278.0,445.0,515.0,86.4,334.0,386.0,86.5,108.0,160.0,67.5,8.0,3.3,3.0,4.7,34.0,103.0,31.0,2.0,145.0,81.0,3.81,58.0,13.0,1.0,4.0,4.0,1.0,10.0,0.47,8.0,1.0,1.0,0.0,0.0,0.0,6,12.0,30.0,1.73,0.52,0.13,0.42,22.7,1.0,1,2,5.5,3.9,0.12,-0.5,0.1,37.0,22.0,11.0,19.0,7.0,9.0,24.3,28.0,33.0,31.0,18.0,53.0,14.0,1.0,0.5945945945945946,1333.0,28.0,176.0,708.0,462.0,56.0,1331.0,27.0,11.0,40.7,16.0,59.3,769.0,5061.0,2549.0,58.0,46.0,8.0,37.0,26.0,931.0,117.0,2.0,0.0,0.0,20.0,5.0,61.0,0.0,0.0,0.0,138.0,7.0,17.9
Lars Stindl,GER,29,Monchengladbach,16.8,1508,FW,624.0,766.0,81.5,10441.0,1791.0,305.0,352.0,86.6,226.0,264.0,85.6,65.0,81.0,80.2,1.0,2.5,2.0,-1.5,22.0,65.0,17.0,1.0,85.0,65.0,3.88,52.0,2.0,2.0,6.0,2.0,1.0,9.0,0.54,6.0,0.0,1.0,1.0,1.0,0.0,3,13.0,36.1,2.03,0.73,0.08,0.23,18.8,1.0,0,0,2.3,2.3,0.07,0.7,0.7,21.0,14.0,8.0,11.0,2.0,3.0,20.0,12.0,22.0,20.0,14.0,35.0,13.0,0.0,0.6666666666666666,929.0,20.0,80.0,552.0,303.0,45.0,929.0,28.0,16.0,57.1,12.0,42.9,488.0,2177.0,992.0,20.0,17.0,0.0,40.0,14.0,714.0,104.0,3.0,0.0,0.0,18.0,8.0,9.0,1.0,0.0,0.0,61.0,19.0,47.5
