Player,Club,Nation,Pos,Age,Minutes,Goals without penalties,Assists,Expected goals,Expected assists,Progressive runs,Shot creating actions,Crosses into penalty area,Successful Take-ons,Goals per shots on target,Shots on target %,Shots,Aerial duels won
Yevhen Konoplyanka,Schalke 04,UKR,FW,28,656,23.126338329764454,57.38758029978587,26.124197002141326,48.60813704496788,46.25267665952891,61.24197002141327,82.22698072805139,92.07708779443254,6.423982869379015,55.6745182012848,52.03426124197003,40.04282655246253
Ahmed Kutucu,Schalke 04,TUR,FW,18,425,79.01498929336188,0.0,47.109207708779444,2.9978586723768736,12.633832976445397,24.839400428265524,0.0,98.28693790149893,43.46895074946467,94.00428265524626,83.29764453961455,13.49036402569593
André Hahn,Augsburg,GER,FW,27,2052,31.47751605995717,68.09421841541756,9.207708779443255,70.44967880085653,19.271948608137045,25.910064239828696,96.57387580299786,18.843683083511777,50.32119914346895,38.32976445396146,12.419700214132762,73.01927194860814
Alfreð Finnbogason,Augsburg,ISL,FW,29,1335,75.58886509635975,32.11991434689507,97.85867237687366,65.52462526766595,52.67665952890792,44.11134903640257,26.33832976445396,44.96788008565311,80.51391862955032,47.75160599571734,66.38115631691649,52.46252676659529
Sergio Córdova,Augsburg,VEN,FW,20,531,88.86509635974305,0.0,17.130620985010705,6.638115631691649,6.638115631691649,24.411134903640257,0.0,82.01284796573876,97.85867237687366,10.920770877944326,33.61884368308351,39.186295503211994
Mario Gómez,Stuttgart,GER,FW,33,2211,54.17558886509636,37.687366167023555,64.45396145610277,41.54175588865097,5.781584582441114,17.77301927194861,0.0,19.914346895074946,47.96573875802998,52.24839400428265,41.54175588865097,87.58029978586723
Nicolás González,Stuttgart,ARG,FW,20,2162,13.704496788008566,52.24839400428265,40.04282655246253,66.16702355460386,34.68950749464668,64.23982869379014,77.08779443254818,93.36188436830835,17.34475374732334,1.9271948608137044,60.599571734475376,91.86295503211991
Anastasios Donis,Stuttgart,GRE,FW,21,962,84.58244111349036,70.66381156316916,42.398286937901496,30.83511777301927,52.24839400428265,18.41541755888651,44.96788008565311,81.37044967880087,87.36616702355461,27.40899357601713,67.6659528907923,11.563169164882227
Hendrik Weydandt,Hannover 96,GER,FW,23,1723,59.52890792291221,27.8372591006424,73.44753747323341,86.50963597430406,37.901498929336185,51.17773019271949,67.6659528907923,7.708779443254818,58.2441113490364,35.974304068522486,86.29550321199143,86.29550321199143
Linton Maina,Hannover 96,GER,FW,19,1414,10.706638115631693,71.73447537473233,6.852248394004283,68.73661670235546,20.985010706638114,53.747323340471084,67.6659528907923,32.54817987152035,87.36616702355461,0.4282655246252677,5.353319057815846,4.282655246252676
