Player,Club,Nation,Pos,Age,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
Georges-Kévin N'Koudou,Tottenham Hotspur,CMR,FW,23.0,1.4,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0
Vincent Janssen,Tottenham Hotspur,NED,FW,24.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Marsh,Tottenham Hotspur,ENG,"DF,MF",19.0,0.3,,,,,,,,,,,,,,,,
Timothy Eyoma,Tottenham Hotspur,ENG,DF,18.0,0.1,,,,,,,,,,,,,,,,
Pierre-Emerick Aubameyang,Arsenal,GAB,FW,29.0,42.8,83.0,2.04,57.0,0.0,10.0,6.0,8.0,2.0,17.0,0.42,9.0,0.0,3.0,3.0,2.0,0.0
Granit Xhaka,Arsenal,SUI,"MF,DF",25.0,38.2,107.0,2.96,78.0,28.0,0.0,0.0,1.0,0.0,9.0,0.25,3.0,6.0,0.0,0.0,0.0,0.0
Sokratis Papastathopoulos,Arsenal,GRE,DF,30.0,37.5,18.0,0.51,16.0,0.0,1.0,0.0,1.0,0.0,4.0,0.11,4.0,0.0,0.0,0.0,0.0,0.0
Shkodran Mustafi,Arsenal,GER,DF,26.0,37.0,14.0,0.41,11.0,0.0,0.0,3.0,0.0,0.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
Alexandre Lacazette,Arsenal,FRA,FW,27.0,37.0,112.0,3.2,76.0,0.0,19.0,7.0,8.0,2.0,21.0,0.6,14.0,0.0,4.0,1.0,2.0,0.0
Lucas Torreira,Arsenal,URU,MF,22.0,35.9,67.0,2.01,41.0,12.0,3.0,3.0,7.0,1.0,12.0,0.36,8.0,2.0,0.0,0.0,2.0,0.0
Bernd Leno,Arsenal,GER,GK,26.0,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mattéo Guendouzi,Arsenal,FRA,MF,19.0,33.9,81.0,2.59,69.0,2.0,6.0,1.0,0.0,3.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0
Nacho Monreal,Arsenal,ESP,DF,32.0,32.2,46.0,1.52,36.0,3.0,0.0,3.0,3.0,1.0,10.0,0.33,7.0,0.0,0.0,1.0,1.0,1.0
Alex Iwobi,Arsenal,NGA,"FW,MF",22.0,31.6,126.0,4.49,116.0,1.0,3.0,4.0,2.0,0.0,14.0,0.5,14.0,0.0,0.0,0.0,0.0,0.0
Sead Kolašinac,Arsenal,BIH,"DF,MF",25.0,30.9,82.0,2.82,69.0,1.0,6.0,2.0,3.0,1.0,12.0,0.41,11.0,0.0,0.0,0.0,1.0,0.0
Henrikh Mkhitaryan,Arsenal,ARM,"FW,MF",29.0,28.1,107.0,4.16,82.0,14.0,2.0,6.0,0.0,3.0,16.0,0.62,15.0,0.0,0.0,1.0,0.0,0.0
Mesut Özil,Arsenal,GER,"MF,FW",29.0,26.8,118.0,4.46,98.0,16.0,2.0,1.0,1.0,0.0,11.0,0.42,10.0,0.0,0.0,1.0,0.0,0.0
Laurent Koscielny,Arsenal,FRA,DF,32.0,25.3,9.0,0.37,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Ramsey,Arsenal,WAL,MF,27.0,24.2,69.0,3.43,58.0,0.0,4.0,5.0,1.0,1.0,14.0,0.7,12.0,0.0,1.0,0.0,1.0,0.0
Ainsley Maitland-Niles,Arsenal,ENG,DF,20.0,23.6,39.0,1.96,28.0,1.0,6.0,1.0,1.0,2.0,6.0,0.3,5.0,0.0,1.0,0.0,0.0,0.0
Petr Čech,Arsenal,CZE,GK,36.0,21.5,1.0,0.06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stephan Lichtsteiner,Arsenal,SUI,DF,34.0,19.2,16.0,0.99,11.0,1.0,0.0,0.0,3.0,1.0,3.0,0.18,3.0,0.0,0.0,0.0,0.0,0.0
Héctor Bellerín,Arsenal,ESP,DF,23.0,17.0,37.0,2.17,32.0,0.0,2.0,3.0,0.0,0.0,9.0,0.53,8.0,0.0,0.0,1.0,0.0,0.0
Rob Holding,Arsenal,ENG,DF,22.0,14.6,5.0,0.37,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Elneny,Arsenal,EGY,MF,26.0,11.3,23.0,2.46,16.0,4.0,0.0,1.0,2.0,0.0,1.0,0.11,1.0,0.0,0.0,0.0,0.0,0.0
Danny Welbeck,Arsenal,ENG,"FW,MF",27.0,6.7,10.0,2.04,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0
Carl Jenkinson,Arsenal,ENG,DF,26.0,6.5,5.0,1.11,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emile Smith Rowe,Arsenal,ENG,"FW,MF",18.0,4.4,7.0,2.38,5.0,0.0,1.0,1.0,0.0,0.0,1.0,0.34,1.0,0.0,0.0,0.0,0.0,0.0
Joe Willock,Arsenal,ENG,"MF,FW",18.0,3.9,6.0,2.09,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eddie Nketiah,Arsenal,ENG,"MF,FW",19.0,3.7,13.0,4.74,5.0,0.0,4.0,1.0,2.0,1.0,2.0,0.73,1.0,0.0,0.0,0.0,0.0,1.0
Konstantinos Mavropanos,Arsenal,GRE,DF,20.0,1.6,2.0,1.22,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bukayo Saka,Arsenal,ENG,FW,16.0,1.4,5.0,3.72,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denis Suárez,Arsenal,ESP,"MF,FW",24.0,1.1,1.0,0.89,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Emiliano Martínez,Arsenal,ARG,GK,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julio Pleguezuelo,Arsenal,ESP,DF,21.0,1.0,,,,,,,,,,,,,,,,
David de Gea,Manchester United,ESP,GK,27.0,47.0,4.0,0.09,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Pogba,Manchester United,FRA,MF,25.0,44.5,207.0,4.99,161.0,0.0,10.0,16.0,19.0,1.0,24.0,0.58,19.0,0.0,0.0,2.0,3.0,0.0
Luke Shaw,Manchester United,ENG,DF,23.0,39.8,92.0,2.5,68.0,10.0,6.0,6.0,1.0,1.0,12.0,0.33,7.0,1.0,2.0,1.0,0.0,1.0
Ashley Young,Manchester United,ENG,DF,33.0,39.3,85.0,2.43,49.0,32.0,1.0,2.0,1.0,0.0,10.0,0.29,6.0,2.0,1.0,1.0,0.0,0.0
Victor Lindelöf,Manchester United,SWE,DF,24.0,38.9,16.0,0.45,13.0,0.0,1.0,1.0,0.0,1.0,1.0,0.03,1.0,0.0,0.0,0.0,0.0,0.0
Nemanja Matić,Manchester United,SRB,MF,29.0,37.3,65.0,1.97,61.0,0.0,1.0,1.0,1.0,1.0,4.0,0.12,4.0,0.0,0.0,0.0,0.0,0.0
Marcus Rashford,Manchester United,ENG,FW,20.0,36.5,98.0,2.89,66.0,5.0,12.0,7.0,7.0,1.0,14.0,0.41,8.0,0.0,4.0,2.0,0.0,0.0
Romelu Lukaku,Manchester United,BEL,FW,25.0,33.7,68.0,2.28,57.0,0.0,5.0,5.0,1.0,0.0,10.0,0.34,7.0,0.0,2.0,0.0,1.0,0.0
Chris Smalling,Manchester United,ENG,DF,28.0,33.6,14.0,0.44,12.0,0.0,0.0,2.0,0.0,0.0,2.0,0.06,2.0,0.0,0.0,0.0,0.0,0.0
Anthony Martial,Manchester United,FRA,"FW,MF",22.0,26.2,88.0,3.72,66.0,0.0,9.0,4.0,9.0,0.0,13.0,0.55,7.0,0.0,3.0,1.0,2.0,0.0
Jesse Lingard,Manchester United,ENG,"FW,MF",25.0,24.3,73.0,3.36,60.0,2.0,4.0,3.0,3.0,1.0,13.0,0.6,7.0,1.0,2.0,1.0,2.0,0.0
