Minute,Player,Squad,xG,PSxG,Outcome,Distance,Body Part,Notes
86,Mohamed Salah,Liverpool,0.04,,Blocked,18.0,Left Foot,
87,Georginio Wijnaldum,Liverpool,0.04,,Blocked,26.0,Right Foot,
90,Virgil van Dijk,Liverpool,0.04,0.04,Saved,15.0,Head,
90,Mohamed Salah,Liverpool,0.06,0.14,Saved,17.0,Left Foot,
4,Sadio Mané,Liverpool,0.05,,Off Target,15.0,Right Foot,
13,Xherdan Shaqiri,Liverpool,0.02,,Off Target,28.0,Left Foot,
16,Mohamed Salah,Liverpool,0.53,0.5,Saved,9.0,Right Foot,
20,Trent Alexander-Arnold,Liverpool,0.05,,Off Target,13.0,Head,
22,Mohamed Salah,Liverpool,0.06,0.08,Saved,11.0,Right Foot,
25,Fabinho,Liverpool,0.03,,Blocked,32.0,Right Foot,
28,Sadio Mané,Liverpool,0.04,,Off Target,20.0,Right Foot,
30,Mohamed Salah,Liverpool,0.03,,Blocked,29.0,Left Foot,
32,Xherdan Shaqiri,Liverpool,0.06,,Blocked,29.0,Left Foot,Free kick
32,Trent Alexander-Arnold,Liverpool,0.02,,Blocked,31.0,Right Foot,Volley
35,Xherdan Shaqiri,Liverpool,0.05,,Off Target,20.0,Left Foot,
41,Mohamed Salah,Liverpool,0.21,0.49,Goal,14.0,Left Foot,
,,,,,,,,
53,Sadio Mané,Liverpool,0.03,0.11,Saved,28.0,Right Foot,
53,Sadio Mané,Liverpool,0.08,,Off Target,8.0,Head,
53,Xherdan Shaqiri,Liverpool,0.16,0.49,Goal,7.0,Left Foot,Volley
59,Virgil van Dijk,Liverpool,0.06,,Blocked,30.0,Right Foot,Free kick
62,Andrew Robertson,Liverpool,0.05,0.18,Saved,16.0,Left Foot,
68,Trent Alexander-Arnold,Liverpool,0.14,,Blocked,21.0,Right Foot,Free kick
81,Trent Alexander-Arnold,Liverpool,0.03,,Off Target,27.0,Right Foot,
90,Roberto Firmino,Liverpool,0.02,0.02,Saved,19.0,Right Foot,
90,Mohamed Salah,Liverpool,0.05,,Blocked,14.0,Left Foot,
39,Roberto Firmino,Liverpool,0.03,0.22,Saved,19.0,Right Foot,
41,Sadio Mané,Liverpool,0.08,0.05,Saved,12.0,Right Foot,Volley
42,Mohamed Salah,Liverpool,0.05,0.22,Saved,10.0,Head,
,,,,,,,,
53,Roberto Firmino,Liverpool,0.06,,Off Target,15.0,Right Foot,Volley
60,Xherdan Shaqiri,Liverpool,0.03,,Off Target,27.0,Left Foot,
67,Mohamed Salah,Liverpool,0.12,0.07,Goal,10.0,Left Foot,Volley
76,Trent Alexander-Arnold,Liverpool,0.06,0.42,Goal,32.0,Right Foot,Free kick
79,Jordan Henderson,Liverpool,0.02,,Off Target,24.0,Right Foot,
89,Sadio Mané,Liverpool,0.41,0.47,Saved,14.0,Right Foot,
89,Roberto Firmino,Liverpool,0.56,0.92,Goal,5.0,Head,
22,Mohamed Salah,Liverpool,0.04,,Off Target,20.0,Left Foot,
26,Georginio Wijnaldum,Liverpool,0.05,,Blocked,17.0,Right Foot,
30,Roberto Firmino,Liverpool,0.12,,Off Target,5.0,Head,
44,Mohamed Salah,Liverpool,0.12,,Off Target,10.0,Left Foot,
45,James Milner (pen),Liverpool,0.79,0.99,Goal,13.0,Right Foot,
,,,,,,,,
60,Mohamed Salah,Liverpool,0.06,,Blocked,16.0,Left Foot,
60,Roberto Firmino,Liverpool,0.06,,Off Target,10.0,Head,
61,Mohamed Salah,Liverpool,0.03,,Blocked,25.0,Left Foot,Volley
12,Sadio Mané,Liverpool,0.38,,Off Target,13.0,Left Foot,Volley
13,Sadio Mané,Liverpool,0.05,,Blocked,14.0,Left Foot,
19,Roberto Firmino,Liverpool,0.07,,Off Target,16.0,Left Foot,
29,Roberto Firmino,Liverpool,0.03,0.05,Saved,28.0,Right Foot,
34,Xherdan Shaqiri,Liverpool,0.47,0.55,Saved,10.0,Right Foot,
,,,,,,,,
48,Mohamed Salah,Liverpool,0.03,,Off Target,27.0,Left Foot,
