Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
Trent Alexander-Arnold,66,ENG,RB,20-065,89,0,0,0,0,2,0,0,0,88,4,2,3,0.1,0.1,0.6,7,0,52,66,78.8,8,44,3,2,2
Dejan Lovren,6,CRO,RB,29-159,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,1,0,0,0
Alisson,13,BRA,GK,26-070,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,37,47,78.7,0,34,0,0,0
Roberto Firmino,9,BRA,FW,27-140,75,0,0,0,0,1,0,0,0,39,1,0,0,0.1,0.1,0.2,4,0,29,35,82.9,4,26,0,2,2
Divock Origi,27,BEL,FW,23-307,15,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,3,0,0,0
Sadio Mané,10,SEN,LW,26-315,90,0,0,0,0,4,1,0,0,30,1,0,3,1.0,1.0,0.0,4,0,14,17,82.4,5,22,3,1,1
Mohamed Salah,11,EGY,RW,26-249,90,0,0,0,0,2,1,0,0,43,0,1,1,0.5,0.5,0.0,2,0,22,35,62.9,3,35,3,2,2
Naby Keïta,8,GUI,LM,24-009,75,0,0,0,0,3,0,0,0,53,3,0,1,0.2,0.2,0.1,4,0,30,40,75.0,4,34,8,4,4
James Milner,7,ENG,LM,33-046,15,0,0,0,0,0,0,0,0,15,1,0,1,0.0,0.0,0.0,1,0,10,12,83.3,4,2,1,0,0
Jordan Henderson,14,ENG,CM,28-247,90,0,0,0,0,0,0,1,0,80,4,1,0,0.0,0.0,0.2,3,0,59,74,79.7,6,44,0,0,0
Georginio Wijnaldum,5,NED,RM,28-100,90,0,0,0,0,0,0,0,0,49,2,0,0,0.0,0.0,0.0,1,0,31,41,75.6,5,33,2,4,3
Andrew Robertson,26,SCO,LB,24-345,90,0,0,0,0,0,0,0,0,67,0,1,1,0.0,0.0,0.1,2,0,49,62,79.0,5,35,1,1,0
Fabinho,3,BRA,CB,25-119,90,0,0,0,0,0,0,0,0,75,2,1,1,0.0,0.0,0.0,0,0,54,66,81.8,3,50,0,0,0
Joël Matip,32,CMR,CB,27-195,90,0,0,0,0,4,0,0,0,73,0,3,0,0.3,0.3,0.0,0,0,51,61,83.6,1,49,1,0,0
Trent Alexander-Arnold,66,ENG,RB,20-135,90,0,0,0,0,1,0,0,0,85,3,3,0,0.0,0.0,0.6,4,0,47,76,61.8,3,35,2,2,1
Alisson,13,BRA,GK,26-140,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,28,33,84.8,0,22,0,0,0
Roberto Firmino,9,BRA,FW,27-162,82,0,0,0,0,2,1,0,0,48,3,1,1,0.1,0.1,0.0,2,0,28,34,82.4,5,29,1,3,1
Divock Origi,27,BEL,LW,23-329,8,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,1,1,2,2,100.0,0,1,0,0,0
Mohamed Salah,11,EGY,"RW,LW",26-271,90,0,1,0,0,2,1,0,0,41,2,0,0,0.1,0.1,0.6,3,1,21,27,77.8,3,26,1,7,4
Sadio Mané,10,SEN,"LW,RW,FW",26-337,90,2,0,0,0,2,2,0,0,31,0,1,0,0.7,0.7,0.1,2,1,16,23,69.6,2,19,4,5,5
James Milner,7,ENG,LM,33-068,86,0,1,0,0,0,0,0,0,56,1,1,1,0.0,0.0,0.1,2,1,32,47,68.1,3,28,1,1,0
Adam Lallana,20,ENG,LM,30-307,4,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0
Jordan Henderson,14,ENG,CM,28-269,12,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,1,3,0,0,0
Fabinho,3,BRA,CM,25-141,78,0,0,0,0,1,0,1,0,39,2,1,0,0.0,0.0,0.0,1,0,23,32,71.9,1,17,0,0,0
Georginio Wijnaldum,5,NED,RM,28-122,90,0,0,0,0,1,0,0,0,42,1,0,0,0.0,0.0,0.0,2,0,26,32,81.3,5,24,1,2,1
Andrew Robertson,26,SCO,LB,25-002,90,0,0,0,0,1,1,1,0,65,3,2,1,0.1,0.1,0.0,2,1,41,54,75.9,8,29,1,2,1
Virgil van Dijk,4,NED,CB,27-248,90,1,1,0,0,1,1,0,0,44,1,3,0,0.1,0.1,0.2,1,1,30,35,85.7,0,17,1,0,0
Joël Matip,32,CMR,CB,27-217,90,0,0,0,0,0,0,1,0,62,5,3,2,0.0,0.0,0.0,0,0,40,48,83.3,5,26,2,2,2
Trent Alexander-Arnold,66,ENG,RB,20-157,90,0,0,0,0,0,0,0,0,85,1,5,1,0.0,0.0,0.0,1,0,38,76,50.0,6,32,3,0,0
Alisson,13,BRA,GK,26-162,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,22,35,62.9,0,18,0,0,0
Roberto Firmino,9,BRA,FW,27-189,81,1,1,0,0,3,1,0,0,44,3,0,1,1.2,1.2,0.1,2,1,20,28,71.4,3,24,1,3,2
Daniel Sturridge,15,ENG,FW,29-220,9,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0
Sadio Mané,10,SEN,LW,26-364,72,0,0,0,0,1,0,0,0,32,2,0,1,0.0,0.0,0.1,4,1,14,20,70.0,3,19,4,3,1
Divock Origi,27,BEL,LW,23-356,18,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,4,4,100.0,1,4,2,2,1
Mohamed Salah,11,EGY,RW,26-298,90,0,0,0,0,7,1,0,0,61,1,1,0,0.9,0.9,0.0,4,0,28,39,71.8,3,44,7,7,4
Naby Keïta,8,GUI,LM,24-058,90,1,0,0,0,2,1,0,0,82,8,2,1,0.1,0.1,0.1,4,0,55,64,85.9,6,50,3,6,3
Fabinho,3,BRA,CM,25-168,90,0,0,0,0,0,0,0,0,95,3,3,2,0.0,0.0,0.0,1,0,76,87,87.4,13,54,0,3,2
Jordan Henderson,14,ENG,RM,28-296,90,0,0,0,0,0,0,0,0,71,2,2,2,0.0,0.0,0.4,6,1,50,59,84.7,8,37,2,1,0
James Milner,7,ENG,LB,33-095,90,0,0,0,0,1,0,0,0,99,0,0,0,0.0,0.0,0.0,1,0,65,85,76.5,7,46,1,2,2
Virgil van Dijk,4,NED,CB,27-275,90,0,0,0,0,0,0,0,0,111,3,0,0,0.0,0.0,0.0,0,0,91,102,89.2,5,65,0,0,0
Dejan Lovren,6,CRO,CB,29-278,90,0,0,0,0,0,0,0,0,89,0,1,0,0.0,0.0,0.0,0,0,69,80,86.3,6,51,0,0,0
Trent Alexander-Arnold,66,ENG,RB,20-184,90,0,0,0,0,1,0,0,0,98,1,1,0,0.0,0.0,1.0,2,1,62,90,68.9,8,55,1,0,0
Alisson,13,BRA,GK,26-189,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,26,27,96.3,0,13,0,0,0
Sadio Mané,10,SEN,"RW,FW",27-007,90,1,1,0,0,3,1,1,0,40,6,0,0,1.6,1.6,0.8,5,1,16,23,69.6,3,26,4,5,3
Divock Origi,27,BEL,LW,23-364,45,0,0,0,0,0,0,0,0,18,0,1,0,0.0,0.0,0.0,0,0,9,13,69.2,0,13,2,1,0
Roberto Firmino,9,BRA,LW,27-197,45,1,0,0,0,1,1,0,0,35,1,0,3,0.4,0.4,0.0,1,0,21,25,84.0,3,23,1,3,2
Mohamed Salah,11,EGY,"FW,RW",26-306,90,1,1,0,0,7,2,0,0,38,0,0,1,0.9,0.9,0.8,3,2,21,26,80.8,6,30,3,2,2
James Milner,7,ENG,"LM,LB",33-103,90,0,0,0,0,1,0,0,0,54,3,2,0,0.1,0.1,0.0,3,1,31,42,73.8,2,41,1,0,0
Fabinho,3,BRA,CM,25-176,90,0,0,0,0,0,0,0,0,47,3,2,1,0.0,0.0,0.0,0,0,18,36,50.0,1,26,0,0,0
Georginio Wijnaldum,5,NED,"RM,LM",28-157,90,0,0,0,0,0,0,0,0,47,1,0,0,0.0,0.0,0.1,2,1,31,38,81.6,3,31,1,0,0
Andrew Robertson,26,SCO,LB,25-037,70,0,0,0,0,0,0,0,0,63,5,0,1,0.0,0.0,0.0,1,0,43,54,79.6,3,31,1,1,0
Jordan Henderson,14,ENG,RM,28-304,20,0,1,0,0,0,0,0,0,21,0,0,0,0.0,0.0,1.2,5,1,17,19,89.5,6,19,1,2,2
Virgil van Dijk,4,NED,CB,27-283,90,1,0,0,0,1,1,0,0,54,2,1,2,0.7,0.7,0.0,1,0,35,40,87.5,1,22,0,0,0
Joël Matip,32,CMR,CB,27-252,90,0,0,0,0,0,0,0,0,54,2,4,2,0.0,0.0,0.0,0,0,35,42,83.3,2,22,0,0,0
Trent Alexander-Arnold,66,ENG,RB,20-192,65,0,1,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.7,3,1,21,39,53.8,3,19,1,2,2
